run_id,test_id,test_name,cache_policy,test_mode_enabled,queue_depth,num_channels,num_planes,ecc_mode,scrambler_enable,burst_length,clock_freq_mhz,prefetch_depth,data_width_bits,addr_width_bits,fifo_depth,cache_size_kb,buffer_size_kb,memory_size_mb,num_agents,agent_mode,env_mode,protocol,reset_cycles,timeout_ns,error_injection_enable,error_injection_rate,coverage_enable,assertion_enable,uvm_verbosity,debug_level,cpu_threads,gpu_accel,compile_options,sim_options,wear_leveling_mode,plane_interleave,vendor_cmd_set,num_transactions,clock_period_ns,test_class,sequence_name
RUN-000001,garbage_collect_test-000001,Garbage_Collect,WriteThrough,0,32,1,1,BCH,1,16,1000,10,128,40,128,1024,32,1024,1,ACTIVE,stress,AXI4,16,500000,1,0.0337,0,1,UVM_LOW,1,2,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +UVM_MAX_QUIT_COUNT=5,dynamic,1,v1.3,512,1.0,garbage_collect_test,garbage_collect_seq
RUN-000002,random_read_test-000002,Random_Read,WriteBack,0,4,4,2,BCH,0,16,800,7,256,32,32,256,128,1024,1,ACTIVE,functional,AXI4,16,1000000,0,0.0,1,1,UVM_HIGH,0,4,1,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +ntb_random_seed_automatic,static,1,v2.0,64,1.25,random_read_test,random_read_seq
RUN-000003,read_disturb_test-000003,Read_Disturb,Adaptive,0,1,1,2,BCH,0,32,1000,14,128,32,32,128,128,256,2,PASSIVE,regression,AXI4,16,2000000,0,0.0,0,0,UVM_LOW,0,2,0,-O3 -sv -timescale=1ns/1ps -assert svaext,+UVM_TESTNAME=auto +ntb_random_seed_automatic,hybrid,1,v1.3,16,1.0,read_disturb_test,read_disturb_seq
RUN-000004,read_disturb_test-000004,Read_Disturb,WriteBack,0,1,2,1,BCH,1,32,600,2,128,48,16,256,32,256,1,ACTIVE,regression,AXI4,16,500000,0,0.0,1,1,UVM_LOW,1,4,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto -cm line+cond+fsm,hybrid,0,v1.2,16,1.6667,read_disturb_test,read_disturb_seq
RUN-000005,garbage_collect_test-000005,Garbage_Collect,WriteThrough,0,4,8,2,Disabled,0,8,800,16,256,32,128,1024,64,1024,4,PASSIVE,regression,AXI4,8,500000,1,0.0327,0,1,UVM_MEDIUM,0,1,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +UVM_MAX_QUIT_COUNT=5,dynamic,0,v1.3,64,1.25,garbage_collect_test,garbage_collect_seq
RUN-000006,back_to_back_program_test-000006,Back_To_Back_Program,WriteBack,0,4,2,2,BCH,0,16,600,15,256,40,64,128,128,512,2,ACTIVE,stress,AXI4,8,2000000,1,0.0437,0,1,UVM_MEDIUM,0,2,0,-O1 -sv -debug_access+all,+UVM_TESTNAME=auto +UVM_MAX_QUIT_COUNT=5,static,1,v2.0,64,1.6667,back_to_back_program_test,back_to_back_program_seq
RUN-000007,random_read_test-000007,Random_Read,Adaptive,0,1,2,2,BCH,0,64,400,2,32,40,32,256,128,1024,1,ACTIVE,functional,AXI4,16,2000000,0,0.0,1,0,UVM_MEDIUM,0,2,0,-O3 -sv -timescale=1ns/1ps -assert svaext,+UVM_TESTNAME=auto +UVM_MAX_QUIT_COUNT=5,dynamic,1,v1.2,16,2.5,random_read_test,random_read_seq
RUN-000008,sequential_write_test-000008,Sequential_Write,Adaptive,1,2,2,2,BCH,1,8,400,4,64,40,128,128,64,512,1,ACTIVE,stress,AXI4,8,1000000,1,0.0268,0,1,UVM_MEDIUM,1,1,0,-O3 -sv -timescale=1ns/1ps -assert svaext,+UVM_TESTNAME=auto -cm line+cond+fsm,dynamic,1,v1.3,32,2.5,sequential_write_test,sequential_write_seq
RUN-000009,mixed_rw_test-000009,Mixed_RW,Disabled,1,64,4,2,LDPC,0,64,600,15,64,48,64,512,128,2048,2,ACTIVE,functional,AXI4,8,500000,1,0.0373,1,1,UVM_HIGH,0,4,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +ntb_random_seed_automatic,dynamic,1,v2.0,1024,1.6667,mixed_rw_test,mixed_rw_seq
RUN-000010,garbage_collect_test-000010,Garbage_Collect,Adaptive,0,16,8,4,Disabled,1,16,800,0,128,48,32,1024,32,1024,2,ACTIVE,functional,AXI4,16,1000000,1,0.026,1,1,UVM_LOW,1,4,0,-O3 -sv -timescale=1ns/1ps -assert svaext,+UVM_TESTNAME=auto +ntb_random_seed_automatic,static,0,v2.0,256,1.25,garbage_collect_test,garbage_collect_seq
