run_id,test_id,seed,status,pass_fail,failure_type,error_code,error_id,first_error_time_ns,uvm_error_count,uvm_warning_count,uvm_fatal_count,assertion_failures,scoreboard_mismatches,execution_time_ms,throughput_mbps,sim_cycles,exit_code,verdict_source
RUN-000001,garbage_collect_test-000001,453584159,PASS,pass,NONE,,,,0,0,0,0,0,131.67,1.9,131669161,0,uvm_report_server
RUN-000002,random_read_test-000002,1788522235,PASS,pass,NONE,,,,0,0,0,0,0,12.34,21.34,9870090,0,uvm_report_server
RUN-000003,read_disturb_test-000003,351907808,PASS,pass,NONE,,,,0,0,0,0,0,11.19,3.16,11185572,0,uvm_report_server
RUN-000004,read_disturb_test-000004,1816765094,PASS,pass,NONE,,,,0,0,0,0,0,16.59,1.99,9954567,0,uvm_report_server
RUN-000005,garbage_collect_test-000005,144579732,PASS,pass,NONE,,,,0,0,0,0,0,3.59,70.44,2873670,0,uvm_report_server
RUN-000006,back_to_back_program_test-000006,948283626,PASS,pass,NONE,,,,0,0,0,0,0,17.54,7.65,10526904,0,uvm_report_server
RUN-000007,random_read_test-000007,5937060,PASS,pass,NONE,,,,0,1,0,0,0,17.96,6.9,7183839,0,uvm_report_server
RUN-000008,sequential_write_test-000008,1317283901,PASS,pass,NONE,,,,0,0,0,0,0,7.54,4.21,3017156,0,uvm_report_server
RUN-000009,mixed_rw_test-000009,1906037610,FAIL,fail,THERMAL_SHUTDOWN,E_THRM_0x80,THERMAL_SHUTDOWN,570420,2,0,0,1,0,574.42,11.53,344654273,1,uvm_report_server
RUN-000010,garbage_collect_test-000010,16898956,FAIL,fail,RETENTION_FAIL,E_RET_0x71,RETENTION_FAIL,11020,1,1,0,0,1,15.02,159.03,12012890,1,uvm_report_server
RUN-000011,back_to_back_program_test-000011,1750388856,FAIL,fail,FIFO_OVERFLOW,E_FIFO_0x21,FIFO_OVERFLOW,49940,1,0,0,0,0,53.94,1.01,53944491,1,uvm_report_server
RUN-000012,random_read_test-000012,819623517,PASS,pass,NONE,,,,0,0,0,0,0,1.9,130.75,2278825,0,uvm_report_server
RUN-000013,power_cycle_test-000013,931300166,PASS,pass,NONE,,,,0,0,0,0,0,21.2,1.56,25443673,0,uvm_report_server
RUN-000014,sequential_write_test-000014,355947047,PASS,pass,NONE,,,,0,1,0,0,0,9.82,3.22,9820247,0,uvm_report_server
RUN-000015,back_to_back_program_test-000015,591891808,PASS,pass,NONE,,,,0,1,0,0,0,173.96,1.43,69585265,0,uvm_report_server
RUN-000016,sequential_write_test-000016,568247848,PASS,pass,NONE,,,,0,1,0,0,0,77.76,105.06,77756337,0,uvm_report_server
RUN-000017,random_read_test-000017,2144115789,PASS,pass,NONE,,,,0,1,0,0,0,2.16,233.41,1730921,0,uvm_report_server
RUN-000018,back_to_back_program_test-000018,108578049,PASS,pass,NONE,,,,0,0,0,0,0,1.86,9.39,1116020,0,uvm_report_server
