run_id,sequence_name,seed,rand_mode,constraint_set,rand_addr_base,rand_addr_range_kb,rand_data_pattern,payload_entropy,rand_rw_ratio,rand_opcode_mix,rand_burst_len_mean,rand_packet_len_bytes,rand_delay_min_ns,rand_delay_max_ns,rand_idle_cycles,rand_wait_states,rand_priority_mode,rand_traffic_pattern,rand_workload,rand_order,rand_err_inj_mode,rand_transaction_count
RUN-000001,garbage_collect_seq,453584159,constrained,default,0xaa734000,256,checkerboard,0.607,0.66,wr_heavy,13.7,1024,6,13,31,7,fixed,random,streaming,in_order,bitflip,512
RUN-000002,random_read_seq,1788522235,full_random,default,0x22358000,1024,random,0.684,0.69,rd_heavy,15.6,1024,2,129,53,5,fixed,random,streaming,in_order,none,64
RUN-000003,read_disturb_seq,351907808,full_random,default,0x85a38000,64,walking_ones,0.617,0.82,wr_heavy,31.1,1024,1,21,57,3,round_robin,random,streaming,in_order,none,16
RUN-000004,read_disturb_seq,1816765094,constrained,default,0x794d2000,256,incremental,0.153,0.25,erase_mixed,19.6,1024,9,125,41,1,weighted,strided,boot,in_order,stuck_at,16
RUN-000005,garbage_collect_seq,144579732,full_random,corner,0x3e1bc000,256,random,0.723,0.1,balanced,6.3,512,11,91,26,3,weighted,strided,streaming,out_of_order,none,64
RUN-000006,back_to_back_program_seq,948283626,full_random,stress,0x795d5000,64,walking_ones,0.55,0.3,wr_heavy,12.1,1024,2,194,59,0,weighted,sequential,boot,in_order,stuck_at,64
RUN-000007,random_read_seq,5937060,full_random,default,0x8029d000,1024,random,0.442,0.81,wr_heavy,42.6,4096,5,173,15,7,weighted,strided,mixed,out_of_order,stuck_at,16
RUN-000008,sequential_write_seq,1317283901,full_random,default,0x05fc6000,64,incremental,0.288,0.42,balanced,7.2,512,18,189,9,0,round_robin,random,mixed,out_of_order,none,32
RUN-000009,mixed_rw_seq,1906037610,full_random,default,0x42e0a000,64,incremental,0.548,0.38,balanced,60.7,1024,6,177,23,0,weighted,sequential,oltp,in_order,none,1024
RUN-000010,garbage_collect_seq,16898956,constrained,stress,0x80a0e000,256,walking_ones,0.164,0.19,erase_mixed,10.3,1024,9,130,60,4,round_robin,hotspot,streaming,in_order,none,256
RUN-000011,back_to_back_program_seq,1750388856,constrained,default,0xc50fd000,4096,random,0.758,0.75,balanced,15.9,2048,16,123,29,2,round_robin,hotspot,mixed,out_of_order,stuck_at,128
RUN-000012,random_read_seq,819623517,full_random,corner,0x861a9000,256,all_zeros,0.688,0.12,rd_heavy,6.4,4096,14,207,30,1,round_robin,random,streaming,in_order,none,64
RUN-000013,power_cycle_seq,931300166,constrained,corner,0x4a339000,256,checkerboard,0.073,0.6,wr_heavy,3.7,1024,12,125,23,6,fixed,sequential,oltp,out_of_order,none,256
RUN-000014,sequential_write_seq,355947047,full_random,default,0x2d44d000,1024,random,0.284,0.32,erase_mixed,10.0,4096,6,37,38,5,round_robin,sequential,boot,in_order,stuck_at,32
RUN-000015,back_to_back_program_seq,591891808,constrained,corner,0x801fd000,64,checkerboard,0.492,0.8,erase_mixed,56.5,512,2,119,63,0,fixed,random,boot,out_of_order,none,64
RUN-000016,sequential_write_seq,568247848,constrained,default,0x35e5a000,4096,checkerboard,0.66,0.88,balanced,39.0,512,9,162,14,7,weighted,random,streaming,in_order,stuck_at,256
RUN-000017,random_read_seq,2144115789,full_random,default,0x6bd5c000,256,walking_ones,0.716,0.29,rd_heavy,31.8,2048,8,75,59,7,round_robin,random,oltp,out_of_order,jitter,16
RUN-000018,back_to_back_program_seq,108578049,full_random,default,0xab59c000,64,all_zeros,0.635,0.7,rd_heavy,7.7,4096,7,196,53,7,fixed,sequential,boot,out_of_order,none,16
RUN-000019,garbage_collect_seq,1593063417,constrained,corner,0x34d15000,256,random,0.353,0.25,balanced,25.5,1024,8,31,28,1,weighted,strided,streaming,in_order,none,512
RUN-000020,back_to_back_program_seq,559399398,full_random,corner,0xf8db4000,4096,all_zeros,0.74,0.77,wr_heavy,25.7,4096,1,59,50,1,round_robin,sequential,boot,in_order,jitter,256
RUN-000021,garbage_collect_seq,918843033,constrained,corner,0x621b3000,256,all_zeros,0.363,0.61,erase_mixed,27.3,2048,17,112,38,3,weighted,hotspot,mixed,out_of_order,stuck_at,512
RUN-000022,sequential_write_seq,1164284604,constrained,default,0x104d8000,64,random,0.266,0.35,balanced,7.1,512,19,92,34,3,fixed,random,mixed,in_order,jitter,512
RUN-000023,back_to_back_program_seq,2046110096,constrained,default,0x15044000,256,random,0.537,0.54,wr_heavy,2.6,1024,16,26,35,1,weighted,random,mixed,out_of_order,none,256
RUN-000024,power_cycle_seq,602867157,constrained,default,0xf0b0d000,64,checkerboard,0.698,0.56,balanced,6.9,1024,9,22,44,2,round_robin,hotspot,mixed,out_of_order,stuck_at,512
RUN-000025,power_cycle_seq,443135816,full_random,stress,0xa025f000,64,random,0.114,0.55,erase_mixed,4.0,512,19,158,17,2,round_robin,random,oltp,out_of_order,stuck_at,256
RUN-000026,erase_suspend_seq,1821529576,constrained,default,0x2db9c000,4096,checkerboard,0.265,0.9,wr_heavy,25.8,512,13,60,42,7,weighted,sequential,streaming,in_order,none,128
RUN-000027,back_to_back_program_seq,329362110,full_random,default,0xdc81f000,256,checkerboard,0.482,0.44,rd_heavy,2.7,2048,6,28,53,4,fixed,strided,mixed,in_order,none,64
RUN-000028,mixed_rw_seq,25974107,constrained,corner,0x684e4000,256,walking_ones,0.725,0.43,wr_heavy,3.9,1024,10,139,58,7,weighted,hotspot,streaming,in_order,jitter,128
RUN-000029,read_disturb_seq,403941757,full_random,default,0x12073000,256,incremental,0.35,0.37,wr_heavy,9.9,1024,9,112,17,0,weighted,random,streaming,out_of_order,none,16
RUN-000030,power_cycle_seq,2118842183,full_random,corner,0xc819a000,1024,random,0.535,0.14,balanced,11.4,512,8,81,47,0,fixed,random,streaming,out_of_order,none,512
RUN-000031,random_read_seq,912608922,full_random,default,0xaf9cb000,1024,random,0.287,0.19,wr_heavy,8.0,1024,16,190,56,0,weighted,sequential,mixed,out_of_order,bitflip,64
RUN-000032,back_to_back_program_seq,1084730882,constrained,default,0xd1637000,256,random,0.208,0.38,wr_heavy,12.7,512,6,36,38,3,round_robin,sequential,streaming,in_order,none,64
RUN-000033,read_disturb_seq,1118639801,directed,default,0xf72a3000,1024,incremental,0.289,0.64,wr_heavy,60.4,1024,7,19,34,6,fixed,hotspot,boot,in_order,none,256
RUN-000034,power_cycle_seq,680196239,constrained,corner,0x035f6000,64,random,0.156,0.81,rd_heavy,13.2,1024,7,189,34,7,weighted,sequential,mixed,in_order,bitflip,256
RUN-000035,read_disturb_seq,1084651853,constrained,stress,0x7c374000,64,random,0.258,0.84,balanced,13.1,1024,0,156,5,0,fixed,sequential,mixed,in_order,stuck_at,1024
RUN-000036,power_cycle_seq,656448571,constrained,corner,0x65e6e000,256,checkerboard,0.246,0.69,erase_mixed,26.3,2048,6,188,9,5,fixed,random,mixed,in_order,none,128
RUN-000037,back_to_back_program_seq,939339568,constrained,corner,0x4e584000,256,checkerboard,0.43,0.49,balanced,3.2,512,10,40,5,5,weighted,hotspot,boot,in_order,none,128
RUN-000038,back_to_back_program_seq,1542911121,full_random,default,0x9268f000,4096,random,0.776,0.19,erase_mixed,28.0,4096,19,166,51,4,fixed,random,oltp,in_order,none,16
RUN-000039,random_read_seq,807037740,constrained,stress,0x61537000,256,random,0.546,0.79,rd_heavy,3.2,512,12,71,21,2,weighted,strided,oltp,out_of_order,none,256
RUN-000040,mixed_rw_seq,666621381,constrained,default,0x83a3c000,1024,random,0.232,0.82,wr_heavy,3.0,1024,5,27,52,4,round_robin,sequential,streaming,in_order,bitflip,32
RUN-000041,erase_suspend_seq,1891277050,full_random,corner,0x78d59000,1024,random,0.593,0.62,erase_mixed,15.2,512,5,169,34,4,fixed,random,mixed,out_of_order,none,128
RUN-000042,power_cycle_seq,1631654593,constrained,stress,0xccd15000,1024,random,0.756,0.28,balanced,14.3,512,9,158,17,6,fixed,random,mixed,out_of_order,stuck_at,256
RUN-000043,sequential_write_seq,843414268,constrained,default,0x2f0a1000,4096,incremental,0.711,0.24,wr_heavy,59.2,1024,7,79,57,1,round_robin,random,mixed,in_order,bitflip,1024
RUN-000044,sequential_write_seq,1421621285,directed,stress,0xab6d3000,4096,random,0.376,0.12,rd_heavy,5.1,2048,14,83,41,6,fixed,strided,mixed,in_order,bitflip,128
RUN-000045,garbage_collect_seq,1408922700,full_random,default,0xe69fc000,64,random,0.136,0.36,balanced,20.6,512,4,151,63,5,fixed,sequential,oltp,in_order,none,256
RUN-000046,back_to_back_program_seq,1746779683,constrained,stress,0x9c116000,64,incremental,0.739,0.56,balanced,2.9,512,8,162,0,7,weighted,sequential,oltp,in_order,bitflip,512
RUN-000047,random_read_seq,189981090,full_random,default,0x097c0000,1024,random,0.223,0.88,rd_heavy,7.1,4096,3,175,39,7,weighted,sequential,oltp,in_order,bitflip,128
RUN-000048,random_read_seq,1670521998,constrained,stress,0xd8673000,4096,random,0.351,0.64,rd_heavy,2.4,512,2,170,26,5,round_robin,strided,boot,in_order,none,32
RUN-000049,power_cycle_seq,412349324,full_random,default,0x9ac3e000,1024,random,0.671,0.15,wr_heavy,31.0,512,10,138,18,0,fixed,random,streaming,in_order,none,64
