run_id,access_time_ns,access_type,block,reg_name,reg_addr,reg_value,expected_value,field_name,field_value,status,mem_block_id
RUN-000001,95072,READ,csr,FIFO_LEVEL,0x0018,0x0213cd40,0x0213cd40,fifo_level_field0,2,OK,1
RUN-000001,68440,READ,csr,INT_STATUS,0x0010,0x70e4eaae,0x70e4eaae,int_status_field0,10,OK,0
RUN-000001,54161,READ,csr,PERF_CNT1,0x0024,0x55b2d543,0x55b2d543,perf_cnt1_field0,1,OK,1
RUN-000001,50705,WRITE,csr,INT_MASK,0x000c,0x0557bfa0,0x0557bfa0,int_mask_field0,8,OK,1
RUN-000002,9148,WRITE,csr,STATUS,0x0008,0xfae45586,0xfae45586,status_field1,15,OK,1
RUN-000002,4743,WRITE,csr,INT_STATUS,0x0010,0xc6742224,0xc6742224,int_status_field0,7,OK,1
RUN-000002,5525,READ,csr,STATUS,0x0008,0xd9898d04,0xd9898d04,status_field0,13,OK,1
RUN-000002,8726,READ,csr,INT_STATUS,0x0010,0x349b0fbe,0x349b0fbe,int_status_field0,8,OK,0
RUN-000003,1857,WRITE,csr,TIMEOUT_CFG,0x001c,0xad62b2b7,0xad62b2b7,timeout_cfg_field2,6,OK,0
RUN-000003,6532,READ,csr,INT_MASK,0x000c,0xcc56de8a,0xcc56de8a,int_mask_field0,15,OK,1
RUN-000003,8781,READ,csr,STATUS,0x0008,0x48b571ae,0x48b571ae,status_field0,1,OK,1
RUN-000003,8653,READ,csr,PERF_CNT1,0x0024,0xc587d960,0xc587d960,perf_cnt1_field2,4,OK,0
RUN-000004,9114,WRITE,csr,INT_STATUS,0x0010,0x9f3efa5c,0x9f3efa5c,int_status_field2,6,OK,0
RUN-000004,6190,WRITE,csr,TIMEOUT_CFG,0x001c,0x9fb99885,0x9fb99885,timeout_cfg_field0,5,OK,0
RUN-000004,6702,READ,csr,PERF_CNT0,0x0020,0x659f6372,0x659f6372,perf_cnt0_field0,14,OK,0
RUN-000004,10208,WRITE,csr,CTRL1,0x0004,0xc46c3c70,0xc46c3c70,ctrl1_field1,7,OK,0
RUN-000005,3591,WRITE,csr,INT_STATUS,0x0010,0x76678238,0x76678238,int_status_field0,9,OK,0
RUN-000005,2286,READ,csr,CTRL1,0x0004,0x365451fa,0x365451fa,ctrl1_field2,4,OK,0
RUN-000005,2394,WRITE,csr,FIFO_LEVEL,0x0018,0x7538a1e7,0x7538a1e7,fifo_level_field1,8,OK,0
RUN-000005,3101,WRITE,csr,PERF_CNT1,0x0024,0x6d028e50,0x6d028e50,perf_cnt1_field2,10,OK,0
RUN-000006,7258,WRITE,csr,INT_MASK,0x000c,0xd67c7d07,0xd67c7d07,int_mask_field0,0,OK,0
RUN-000006,4030,READ,csr,CTRL0,0x0000,0x988220be,0x988220be,ctrl0_field1,6,OK,1
RUN-000006,2598,READ,csr,INT_MASK,0x000c,0x76a6b294,0x76a6b294,int_mask_field1,4,OK,0
RUN-000006,13097,READ,csr,STATUS,0x0008,0xa13c95ad,0xa13c95ad,status_field0,4,OK,0
RUN-000007,15907,READ,csr,PERF_CNT0,0x0020,0x34209aca,0x34209aca,perf_cnt0_field1,14,OK,0
RUN-000007,3869,WRITE,csr,STATUS,0x0008,0x05065428,0x05065428,status_field3,7,OK,1
RUN-000007,2441,WRITE,csr,INT_MASK,0x000c,0x3861da2c,0x3861da2c,int_mask_field0,4,OK,1
RUN-000007,5465,WRITE,csr,ECC_CFG,0x0014,0xec469a05,0xec469a05,ecc_cfg_field3,9,OK,0
RUN-000008,3610,READ,csr,CTRL0,0x0000,0xe453cd75,0xe453cd75,ctrl0_field3,13,OK,0
RUN-000008,5129,WRITE,csr,CTRL0,0x0000,0xf43cc006,0xf43cc006,ctrl0_field0,1,OK,1
RUN-000008,6103,READ,csr,INT_STATUS,0x0010,0x2271488f,0x2271488f,int_status_field2,5,OK,1
RUN-000008,3283,READ,csr,PERF_CNT0,0x0020,0xa5a428d1,0xa5a428d1,perf_cnt0_field0,13,OK,0
RUN-000009,265250,WRITE,csr,INT_STATUS,0x0010,0x1dbfc1c0,0x1dbfc1c0,int_status_field1,8,OK,1
RUN-000009,136815,READ,csr,INT_MASK,0x000c,0xa6864d39,0xa6864d39,int_mask_field1,3,OK,1
RUN-000009,558554,WRITE,csr,FIFO_LEVEL,0x0018,0x211e1b52,0x211e1b52,fifo_level_field2,3,OK,1
RUN-000009,71353,WRITE,csr,ECC_CFG,0x0014,0xc68278d2,0xc68278d3,ecc_cfg_field0,14,MISMATCH,1
RUN-000010,8592,WRITE,csr,CTRL1,0x0004,0x4bdfedb9,0x4bdfedb9,ctrl1_field2,7,OK,1
RUN-000010,8064,READ,csr,CTRL1,0x0004,0xe943bdf9,0xe943bdf9,ctrl1_field0,14,OK,2
RUN-000010,3889,WRITE,csr,CTRL0,0x0000,0x3839f9db,0x3839f9db,ctrl0_field2,5,OK,2
RUN-000010,1528,WRITE,csr,PERF_CNT1,0x0024,0x34bffe56,0x34bffe56,perf_cnt1_field3,0,OK,3
RUN-000011,2636,READ,csr,FIFO_LEVEL,0x0018,0x2c919ccc,0x2c919ccc,fifo_level_field0,0,OK,1
RUN-000011,43623,READ,csr,PERF_CNT1,0x0024,0x9e032308,0x9e032308,perf_cnt1_field3,7,OK,0
RUN-000011,21976,READ,csr,INT_MASK,0x000c,0x2c924ca7,0x2c924ca7,int_mask_field2,7,OK,0
RUN-000011,42392,WRITE,csr,TIMEOUT_CFG,0x001c,0x20c7f604,0x20c7f605,timeout_cfg_field1,8,MISMATCH,0
RUN-000012,2754,WRITE,csr,FIFO_LEVEL,0x0018,0x47204fc5,0x47204fc5,fifo_level_field0,8,OK,0
RUN-000012,3964,WRITE,csr,CTRL1,0x0004,0x7ba3d879,0x7ba3d879,ctrl1_field2,8,OK,0
RUN-000012,2229,READ,csr,CTRL0,0x0000,0x40bd3c7d,0x40bd3c7d,ctrl0_field1,13,OK,0
RUN-000012,3904,READ,csr,FIFO_LEVEL,0x0018,0xcd23d8b9,0xcd23d8b9,fifo_level_field2,1,OK,0
RUN-000013,7926,READ,csr,INT_MASK,0x000c,0xc0218f68,0xc0218f68,int_mask_field3,0,OK,0
RUN-000013,15189,WRITE,csr,CTRL0,0x0000,0xfe0e51c4,0xfe0e51c4,ctrl0_field3,8,OK,0
RUN-000013,8149,READ,csr,STATUS,0x0008,0x1d1fe7b8,0x1d1fe7b8,status_field2,14,OK,0
RUN-000013,13862,READ,csr,STATUS,0x0008,0x80484429,0x80484429,status_field2,8,OK,1
RUN-000014,9637,WRITE,csr,TIMEOUT_CFG,0x001c,0xd294f994,0xd294f994,timeout_cfg_field3,11,OK,0
RUN-000014,5689,READ,csr,STATUS,0x0008,0x9d46dbea,0x9d46dbea,status_field1,14,OK,0
RUN-000014,8933,WRITE,csr,INT_STATUS,0x0010,0x280ce499,0x280ce499,int_status_field3,6,OK,0
RUN-000014,5962,READ,csr,PERF_CNT1,0x0024,0xa5306e19,0xa5306e19,perf_cnt1_field0,9,OK,0
RUN-000015,111043,WRITE,csr,INT_MASK,0x000c,0x87634a83,0x87634a83,int_mask_field0,2,OK,1
RUN-000015,107530,READ,csr,PERF_CNT1,0x0024,0x8e6f5290,0x8e6f5290,perf_cnt1_field1,5,OK,0
RUN-000015,33135,WRITE,csr,FIFO_LEVEL,0x0018,0xa56b35bd,0xa56b35bd,fifo_level_field2,5,OK,1
RUN-000015,70742,WRITE,csr,ECC_CFG,0x0014,0xad0128b8,0xad0128b8,ecc_cfg_field2,10,OK,1
RUN-000016,37613,READ,csr,CTRL1,0x0004,0x5cdabe51,0x5cdabe51,ctrl1_field1,6,OK,0
RUN-000016,50307,WRITE,csr,PERF_CNT1,0x0024,0x031de6fc,0x031de6fc,perf_cnt1_field2,14,OK,0
RUN-000016,25202,WRITE,csr,STATUS,0x0008,0xb29e2e2b,0xb29e2e2b,status_field0,7,OK,3
RUN-000016,44536,WRITE,csr,PERF_CNT0,0x0020,0xd803e43a,0xd803e43a,perf_cnt0_field1,14,OK,1
RUN-000017,2033,READ,csr,FIFO_LEVEL,0x0018,0x7fd73523,0x7fd73523,fifo_level_field3,14,OK,1
RUN-000017,3767,WRITE,csr,FIFO_LEVEL,0x0018,0xaa61e93a,0xaa61e93a,fifo_level_field3,9,OK,1
RUN-000017,2905,READ,csr,PERF_CNT1,0x0024,0x5ce2876f,0x5ce2876f,perf_cnt1_field1,7,OK,3
RUN-000017,3772,READ,csr,STATUS,0x0008,0x8a9a5ede,0x8a9a5ede,status_field0,13,OK,2
RUN-000018,3892,READ,csr,PERF_CNT1,0x0024,0x6f3406d1,0x6f3406d1,perf_cnt1_field3,7,OK,0
RUN-000018,2259,WRITE,csr,TIMEOUT_CFG,0x001c,0x6c5c8b05,0x6c5c8b05,timeout_cfg_field2,6,OK,0
RUN-000018,1493,WRITE,csr,CTRL0,0x0000,0x712b1c8d,0x712b1c8d,ctrl0_field0,12,OK,1
RUN-000018,2548,WRITE,csr,CTRL0,0x0000,0x5b6bfa15,0x5b6bfa15,ctrl0_field0,1,OK,1
RUN-000019,150042,READ,csr,TIMEOUT_CFG,0x001c,0x336d1de1,0x336d1de1,timeout_cfg_field0,4,OK,1
RUN-000019,269521,READ,csr,FIFO_LEVEL,0x0018,0x65c7d913,0x65c7d913,fifo_level_field2,10,OK,1
RUN-000019,97016,WRITE,csr,PERF_CNT0,0x0020,0xd602e320,0xd602e320,perf_cnt0_field1,15,OK,1
RUN-000019,121120,WRITE,csr,PERF_CNT0,0x0020,0x63c31ca8,0x63c31ca8,perf_cnt0_field3,3,OK,0
RUN-000020,29135,READ,csr,CTRL0,0x0000,0x7f797996,0x7f797996,ctrl0_field3,6,OK,0
RUN-000020,20223,WRITE,csr,ECC_CFG,0x0014,0x454d2e96,0x454d2e96,ecc_cfg_field3,4,OK,0
RUN-000020,12204,WRITE,csr,PERF_CNT1,0x0024,0x589b0391,0x589b0391,perf_cnt1_field3,4,OK,1
