run_id,host,os_release,simulator,simulator_version,cpu_model,cpu_cores_allocated,cpu_util_avg_pct,cpu_util_peak_pct,mem_util_avg_pct,peak_mem_mb,disk_io_mb,wall_time_s,cpu_time_s,license_wait_s,sim_perf_cycles_per_sec,temperature_c,voltage_mv,power_mode,power_w,grid_queue
RUN-000001,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,2,29.5,37.6,59.7,4911.5,550.4,5.2,4.73,8.04,25320992.5,62.0,1177.3,nominal,5.21,short
RUN-000002,farm-node-11,rhel8.8,Questa,2023.4,EPYC-7763,4,63.1,89.3,64.5,1787.9,263.2,29.59,38.81,8.75,333561.7,52.4,1100.0,nominal,4.36,short
RUN-000003,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,2,80.5,100.0,45.1,2526.2,275.3,4.1,6.0,6.87,2728188.3,68.3,1111.1,low_power,4.31,long
RUN-000004,farm-node-11,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,77.0,82.8,50.4,2461.5,430.2,20.91,22.83,7.71,476067.3,68.5,1050.0,nominal,5.14,normal
RUN-000005,farm-node-01,rhel8.8,VCS,2023.12-SP1,EPYC-9354,1,75.4,85.6,58.7,400.0,415.5,29.21,40.66,7.76,98379.7,76.8,1160.4,nominal,5.7,short
RUN-000006,farm-node-02,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,2,48.8,55.0,31.6,2373.2,432.2,29.2,39.19,16.34,360510.4,67.7,1210.0,nominal,2.98,normal
RUN-000007,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,66.8,80.5,49.3,3604.0,175.4,19.91,14.26,1.33,360815.6,61.5,1235.7,nominal,4.0,short
RUN-000008,farm-node-19,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,68.8,81.1,49.1,3127.2,352.7,8.74,10.87,4.29,345212.4,76.4,1153.1,low_power,3.15,short
RUN-000009,farm-node-02,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,56.7,75.0,45.1,1913.1,357.0,30.58,42.47,1.33,11270577.9,87.7,1148.0,turbo,6.01,long
RUN-000010,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-7763,4,68.1,88.4,42.3,2272.0,356.3,26.23,24.71,0.55,457982.8,89.2,1067.9,nominal,6.33,long
RUN-000011,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,59.8,70.7,55.6,3382.9,104.1,8.41,6.68,10.83,6414327.1,34.5,1242.0,nominal,3.46,normal
RUN-000012,farm-node-11,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,2,53.4,61.6,54.7,1815.0,430.0,22.82,16.84,17.21,99860.9,45.2,1112.6,nominal,4.03,normal
RUN-000013,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,56.8,61.6,51.2,1979.1,239.7,12.53,14.05,2.86,2030620.4,71.0,1113.0,nominal,4.98,long
RUN-000014,farm-node-02,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,99.0,100.0,43.5,2405.6,150.8,21.94,21.65,2.11,447595.6,49.2,1217.7,nominal,1.63,long
RUN-000015,farm-node-11,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,81.7,100.0,57.2,2907.3,247.6,14.25,10.92,15.81,4883176.5,46.0,1187.2,nominal,4.34,normal
RUN-000016,farm-node-19,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,4,51.9,65.9,25.9,1994.2,269.3,3.16,2.63,0.31,24606435.8,50.1,1133.7,nominal,1.55,normal
RUN-000017,farm-node-01,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,62.7,67.8,48.0,4332.2,366.8,2.29,2.32,18.22,755860.7,66.0,1096.2,nominal,2.71,long
RUN-000018,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,64.9,86.8,32.7,2709.1,486.9,26.62,20.47,7.68,41924.1,57.8,1112.6,nominal,5.92,short
RUN-000019,farm-node-19,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,63.1,89.9,54.0,3960.3,474.0,28.34,41.76,5.25,7451611.4,79.4,1250.0,turbo,5.9,long
RUN-000020,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,49.3,65.0,35.5,1601.8,220.1,5.22,5.25,8.96,7260640.4,62.6,1138.2,nominal,4.12,short
RUN-000021,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-9354,4,61.1,79.4,47.8,3972.7,85.9,25.85,37.67,14.94,4390989.6,52.9,1156.7,low_power,5.32,normal
RUN-000022,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,4,73.4,100.0,41.0,3309.6,362.1,19.2,14.9,7.28,976023.9,54.4,1192.6,turbo,7.53,normal
