runId,test_id,seed,result,pass_fail,failure_class,err_code,error_id,first_error_time_ns,uvm_error_count,uvm_warning_count,uvm_fatal_count,assertion_failures,scoreboard_mismatches,execution_time_ms,throughput_mbps,sim_cycles,exit_code,verdict_source
RUN-000001,backpressure_test-000001,1994477663,FAIL,fail,BUS_STARVATION,B_ARB_0x12,BUS_STARVATION,470490,2,0,0,0,0,474.49,0.0002,11862350,1,uvm_report_server
RUN-000002,uart_loopback_test-000002,1365143476,FAIL,fail,BUS_STARVATION,B_ARB_0x12,BUS_STARVATION,794780,1,0,0,0,0,798.78,0.0006,19969389,1,uvm_report_server
RUN-000003,uart_loopback_test-000003,1081148320,PASS,pass,NONE,,,,0,0,0,0,0,385.49,0.0021,19274328,0,uvm_report_server
RUN-000004,reset_recovery_test-000004,690194551,PASS,pass,NONE,,,,0,1,0,0,0,142.51,0.005,14251242,0,uvm_report_server
RUN-000005,parity_stress_test-000005,653883024,PASS,pass,NONE,,,,0,0,0,0,0,12.25,0.0336,2450163,0,uvm_report_server
RUN-000006,reg_sweep_test-000006,1792005236,FAIL,fail,FRAMING_ERROR,B_UART_0x24,FRAMING_ERROR,17240,3,0,0,0,1,21.24,0.0053,1062110,1,uvm_report_server
RUN-000007,reg_sweep_test-000007,505041956,PASS,pass,NONE,,,,0,0,0,0,0,121.35,0.0068,12135487,0,uvm_report_server
RUN-000008,reg_sweep_test-000008,297082747,FAIL,fail,FIFO_UNDERRUN,B_DMA_0x31,FIFO_UNDERRUN,21960,1,0,0,0,0,25.96,0.0048,1298029,1,uvm_report_server
RUN-000009,uart_loopback_test-000009,2136726199,PASS,pass,NONE,,,,0,1,0,0,0,39.78,0.02,3978115,0,uvm_report_server
RUN-000010,reg_sweep_test-000010,649919962,PASS,pass,NONE,,,,0,0,0,0,0,259.82,0.003,6495511,0,uvm_report_server
RUN-000011,irq_storm_test-000011,536902621,PASS,pass,NONE,,,,0,0,0,0,0,199.56,0.0019,9978038,0,uvm_report_server
RUN-000012,irq_storm_test-000012,15911153,FAIL,fail,BUS_STARVATION,B_ARB_0x12,BUS_STARVATION,590250,2,0,0,0,0,594.25,0.0002,118850742,1,uvm_report_server
RUN-000013,reg_sweep_test-000013,1304906936,FAIL,fail,BUS_STARVATION,B_ARB_0x12,BUS_STARVATION,366890,3,1,0,0,0,370.89,0.0001,9272225,1,uvm_report_server
RUN-000014,irq_storm_test-000014,2051099298,FAIL,fail,IRQ_LOST,B_IRQ_0x45,IRQ_LOST,63180,3,0,0,1,0,67.18,0.0006,3358841,1,uvm_report_server
RUN-000015,reg_sweep_test-000015,1249631035,FAIL,fail,FIFO_UNDERRUN,B_DMA_0x31,FIFO_UNDERRUN,70360,4,1,0,1,0,74.36,0.0015,1859042,1,uvm_report_server
RUN-000016,dma_burst_test-000016,178988917,PASS,pass,NONE,,,,0,0,0,0,0,314.33,0.0104,15716451,0,uvm_report_server
RUN-000017,parity_stress_test-000017,78217397,PASS,pass,NONE,,,,0,1,0,0,0,146.04,0.0056,29207192,0,uvm_report_server
RUN-000018,reset_recovery_test-000018,1487847970,PASS,pass,NONE,,,,0,1,0,0,0,50.79,0.0068,5079076,0,uvm_report_server
RUN-000019,irq_storm_test-000019,2088629963,PASS,pass,NONE,,,,0,0,0,0,0,142.0,0.0055,14199840,0,uvm_report_server
RUN-000020,uart_loopback_test-000020,934524901,PASS,pass,NONE,,,,0,1,0,0,0,28.58,0.0073,2857562,0,uvm_report_server
RUN-000021,uart_loopback_test-000021,965042309,FAIL,fail,FRAMING_ERROR,B_UART_0x24,FRAMING_ERROR,95260,4,0,0,1,1,99.26,0.0009,9926434,1,uvm_report_server
RUN-000022,dma_burst_test-000022,1437000195,FAIL,fail,FRAMING_ERROR,B_UART_0x24,FRAMING_ERROR,20670,3,0,0,1,1,24.67,0.0016,4933733,1,uvm_report_server
RUN-000023,uart_loopback_test-000023,467319696,PASS,pass,NONE,,,,0,0,0,0,0,84.75,0.0011,8475229,0,uvm_report_server
RUN-000024,reset_recovery_test-000024,2066469103,PASS,pass,NONE,,,,0,1,0,0,0,331.1,0.0012,33109819,0,uvm_report_server
RUN-000025,uart_loopback_test-000025,1856043471,PASS,pass,NONE,,,,0,0,0,0,0,253.93,0.0007,25392857,0,uvm_report_server
RUN-000026,uart_loopback_test-000026,429685346,FAIL,fail,PSLVERR_TIMEOUT,B_APB_0x55,PSLVERR_TIMEOUT,491140,2,0,1,0,0,495.14,0.0002,49513792,1,uvm_report_server
RUN-000027,reset_recovery_test-000027,364609759,PASS,pass,NONE,,,,0,0,0,0,0,67.09,0.0224,6709383,0,uvm_report_server
RUN-000028,uart_loopback_test-000028,2115805617,PASS,pass,NONE,,,,0,0,0,0,0,179.31,0.0042,17931337,0,uvm_report_server
RUN-000029,uart_loopback_test-000029,1444749762,PASS,pass,NONE,,,,0,0,0,0,0,49.42,0.0041,2470751,0,uvm_report_server
RUN-000030,reg_sweep_test-000030,506970903,PASS,pass,NONE,,,,0,0,0,0,0,40.59,0.0046,1014703,0,uvm_report_server
RUN-000031,dma_burst_test-000031,309405166,PASS,pass,NONE,,,,0,0,0,0,0,111.06,0.0066,2776441,0,uvm_report_server
RUN-000032,uart_loopback_test-000032,851111806,PASS,pass,NONE,,,,0,0,0,0,0,100.68,0.0009,2516882,0,uvm_report_server
RUN-000033,reset_recovery_test-000033,1939252542,FAIL,fail,FIFO_UNDERRUN,B_DMA_0x31,FIFO_UNDERRUN,31350,1,0,0,0,0,35.35,0.0008,1767285,1,uvm_report_server
RUN-000034,uart_loopback_test-000034,498133270,PASS,pass,NONE,,,,0,1,0,0,0,388.25,0.0072,9706129,0,uvm_report_server
RUN-000035,backpressure_test-000035,610915250,FAIL,fail,BUS_STARVATION,B_ARB_0x12,BUS_STARVATION,667820,3,0,0,0,0,671.82,0.001,33591208,1,uvm_report_server
RUN-000036,dma_burst_test-000036,343837892,PASS,pass,NONE,,,,0,0,0,0,0,54.07,0.0078,5406945,0,uvm_report_server
RUN-000037,dma_burst_test-000037,2048333865,PASS,pass,NONE,,,,0,0,0,0,0,119.58,0.0034,23916683,0,uvm_report_server
RUN-000038,parity_stress_test-000038,116268286,FAIL,fail,FRAMING_ERROR,B_UART_0x24,FRAMING_ERROR,196510,2,0,0,1,1,200.51,0.0028,10025341,1,uvm_report_server
RUN-000039,reset_recovery_test-000039,1679308757,PASS,pass,NONE,,,,0,0,0,0,0,289.99,0.0026,7249633,0,uvm_report_server
RUN-000040,reg_sweep_test-000040,1749430100,FAIL,fail,PSLVERR_TIMEOUT,B_APB_0x55,PSLVERR_TIMEOUT,199670,2,1,1,0,0,203.67,0.0011,20367113,1,uvm_report_server
RUN-000041,uart_loopback_test-000041,1479435458,FAIL,fail,FIFO_UNDERRUN,B_DMA_0x31,FIFO_UNDERRUN,65730,2,1,0,0,0,69.73,0.0008,3486478,1,uvm_report_server
RUN-000042,reg_sweep_test-000042,696135320,PASS,pass,NONE,,,,0,0,0,0,0,176.05,0.0094,17605438,0,uvm_report_server
RUN-000043,parity_stress_test-000043,1109859003,PASS,pass,NONE,,,,0,1,0,0,0,133.56,0.0213,26711917,0,uvm_report_server
RUN-000044,irq_storm_test-000044,1728034467,FAIL,fail,FRAMING_ERROR,B_UART_0x24,FRAMING_ERROR,393910,1,0,0,0,1,397.91,0.0006,19895369,1,uvm_report_server
RUN-000045,dma_burst_test-000045,449059651,PASS,pass,NONE,,,,0,1,0,0,0,8.39,0.006,1677751,0,uvm_report_server
RUN-000046,reset_recovery_test-000046,2122512312,FAIL,fail,FRAMING_ERROR,B_UART_0x24,FRAMING_ERROR,713370,3,0,0,0,1,717.37,0.0003,17934324,1,uvm_report_server
RUN-000047,uart_loopback_test-000047,49926152,PASS,pass,NONE,,,,0,0,0,0,0,34.26,0.0241,3426241,0,uvm_report_server
RUN-000048,backpressure_test-000048,1556018083,FAIL,fail,BUS_STARVATION,B_ARB_0x12,BUS_STARVATION,309460,3,0,0,0,0,313.46,0.0009,15673046,1,uvm_report_server
RUN-000049,uart_loopback_test-000049,1815798936,PASS,pass,NONE,,,,0,0,0,0,0,82.31,0.0044,2057672,0,uvm_report_server
RUN-000050,reg_sweep_test-000050,314776907,FAIL,fail,METASTABILITY,B_CDC_0x62,METASTABILITY,45240,3,1,0,1,0,49.24,0.0026,2462021,1,uvm_report_server
RUN-000051,backpressure_test-000051,1397096016,PASS,pass,NONE,,,,0,1,0,0,0,284.31,0.0058,14215503,0,uvm_report_server
