run_id,sequence_name,seed,rand_mode,constraint_set,rand_addr_base,rand_addr_range_kb,rand_data_pattern,payload_entropy,rand_rw_ratio,rand_opcode_mix,rand_packet_len_bytes,rand_delay_min_ns,rand_delay_max_ns,rand_idle_cycles,rand_wait_states,rand_priority_mode,rand_traffic_pattern,rand_workload,rand_order,rand_err_inj_mode,rand_transaction_count
RUN-000001,backpressure_seq,1994477663,full_random,corner,0x2600,64,incremental,0.515,0.52,reg_wr,128,25,329,19,7,fixed,sparse,console,in_order,none,96
RUN-000002,uart_loopback_seq,1365143476,constrained,corner,0x0600,16,incremental,0.207,0.37,balanced,8,39,389,7,2,weighted,uniform,sensor_poll,in_order,bitflip,384
RUN-000003,uart_loopback_seq,1081148320,constrained,default,0x5b00,4,random,0.897,0.32,balanced,16,18,349,19,5,fixed,ping_pong,dma_stream,in_order,none,384
RUN-000004,reset_recovery_seq,690194551,constrained,corner,0x8800,16,incremental,0.406,0.22,reg_wr,128,19,347,6,8,weighted,sparse,console,in_order,none,384
RUN-000005,parity_stress_seq,653883024,directed,default,0xb400,16,walking_ones,0.011,0.38,balanced,128,26,416,4,8,weighted,burst_hotspot,console,in_order,glitch,96
RUN-000006,reg_sweep_seq,1792005236,constrained,default,0xc000,4,random,0.468,0.33,reg_wr,128,8,186,30,0,fixed,burst_hotspot,console,in_order,none,48
RUN-000007,reg_sweep_seq,505041956,directed,default,0x1e00,16,all_ones,0.173,0.55,reg_wr,64,1,134,11,7,weighted,uniform,dma_stream,in_order,none,384
RUN-000008,reg_sweep_seq,297082747,directed,default,0x6700,4,walking_ones,0.705,0.43,reg_wr,128,4,399,30,6,fixed,uniform,dma_stream,out_of_order,glitch,48
RUN-000009,uart_loopback_seq,2136726199,constrained,stress,0xe600,4,all_ones,0.45,0.5,reg_rd,64,9,77,23,9,fixed,sparse,sensor_poll,in_order,glitch,192
RUN-000010,reg_sweep_seq,649919962,constrained,default,0xbd00,16,random,0.166,0.74,balanced,8,25,147,20,0,weighted,burst_hotspot,dma_stream,in_order,none,192
RUN-000011,irq_storm_seq,536902621,directed,default,0x2200,16,random,0.211,0.71,reg_wr,128,22,416,16,1,weighted,burst_hotspot,boot,out_of_order,none,96
RUN-000012,irq_storm_seq,15911153,constrained,corner,0xe500,16,incremental,0.782,0.65,reg_wr,16,36,159,25,4,fixed,ping_pong,dma_stream,in_order,none,384
RUN-000013,reg_sweep_seq,1304906936,constrained,corner,0x2600,64,walking_ones,0.521,0.7,reg_rd,64,11,298,3,10,fixed,ping_pong,sensor_poll,in_order,none,48
RUN-000014,irq_storm_seq,2051099298,constrained,default,0xe500,4,walking_ones,0.533,0.39,balanced,16,2,253,28,9,weighted,uniform,console,in_order,none,192
RUN-000015,reg_sweep_seq,1249631035,full_random,corner,0x2e00,4,walking_ones,0.45,0.44,reg_wr,64,22,197,10,2,weighted,uniform,sensor_poll,in_order,glitch,96
RUN-000016,dma_burst_seq,178988917,constrained,stress,0xb500,16,all_ones,0.929,0.65,reg_rd,64,12,380,31,5,fixed,burst_hotspot,sensor_poll,in_order,none,768
RUN-000017,parity_stress_seq,78217397,constrained,default,0x3500,64,incremental,0.513,0.41,reg_rd,64,15,188,27,5,weighted,sparse,dma_stream,in_order,bitflip,192
RUN-000018,reset_recovery_seq,1487847970,full_random,default,0x9200,4,incremental,0.316,0.59,reg_rd,64,19,243,8,6,fixed,uniform,dma_stream,in_order,bitflip,384
RUN-000019,irq_storm_seq,2088629963,directed,default,0x3b00,4,random,0.328,0.36,balanced,16,25,288,27,0,weighted,uniform,console,in_order,none,384
RUN-000020,uart_loopback_seq,934524901,constrained,default,0x5c00,4,walking_ones,0.228,0.42,balanced,8,27,39,7,9,fixed,uniform,dma_stream,out_of_order,bitflip,96
RUN-000021,uart_loopback_seq,965042309,constrained,corner,0x6400,16,all_ones,0.517,0.55,reg_rd,8,12,79,13,5,weighted,burst_hotspot,boot,out_of_order,glitch,96
RUN-000022,dma_burst_seq,1437000195,full_random,default,0xce00,4,incremental,0.27,0.33,reg_rd,128,36,186,28,10,weighted,sparse,console,in_order,bitflip,96
RUN-000023,uart_loopback_seq,467319696,full_random,default,0xa900,16,incremental,0.372,0.34,reg_rd,8,11,384,29,0,weighted,ping_pong,boot,out_of_order,bitflip,48
RUN-000024,reset_recovery_seq,2066469103,constrained,default,0x3100,16,incremental,0.591,0.44,reg_rd,16,2,213,31,9,fixed,sparse,boot,in_order,glitch,384
RUN-000025,uart_loopback_seq,1856043471,full_random,default,0xc400,64,random,0.916,0.6,balanced,128,24,324,23,10,weighted,ping_pong,dma_stream,out_of_order,none,96
RUN-000026,uart_loopback_seq,429685346,constrained,corner,0x5300,64,random,0.409,0.25,balanced,128,27,318,7,6,fixed,sparse,dma_stream,out_of_order,bitflip,192
RUN-000027,reset_recovery_seq,364609759,full_random,corner,0x2700,64,random,0.136,0.32,reg_wr,64,25,326,6,8,weighted,uniform,sensor_poll,out_of_order,bitflip,384
RUN-000028,uart_loopback_seq,2115805617,full_random,default,0xa500,64,incremental,0.634,0.29,balanced,128,23,131,15,8,fixed,sparse,dma_stream,in_order,none,192
RUN-000029,uart_loopback_seq,1444749762,full_random,stress,0x9900,4,random,0.433,0.29,reg_wr,16,1,257,14,8,fixed,uniform,dma_stream,in_order,none,96
RUN-000030,reg_sweep_seq,506970903,constrained,stress,0x7f00,64,incremental,0.332,0.29,balanced,64,31,156,24,9,weighted,sparse,dma_stream,in_order,glitch,192
RUN-000031,dma_burst_seq,309405166,constrained,stress,0x8900,16,walking_ones,0.366,0.23,reg_rd,16,16,223,17,2,weighted,uniform,console,in_order,none,192
RUN-000032,uart_loopback_seq,851111806,constrained,stress,0x3100,64,walking_ones,0.331,0.27,reg_rd,16,6,284,4,11,fixed,uniform,boot,in_order,none,96
RUN-000033,reset_recovery_seq,1939252542,full_random,corner,0x0f00,64,all_ones,0.733,0.25,balanced,16,17,288,7,0,fixed,uniform,console,in_order,bitflip,48
RUN-000034,uart_loopback_seq,498133270,constrained,default,0x0d00,16,random,0.325,0.77,balanced,8,26,309,5,4,weighted,burst_hotspot,sensor_poll,in_order,none,768
RUN-000035,backpressure_seq,610915250,constrained,default,0xdd00,16,all_ones,0.651,0.45,balanced,64,35,325,8,0,fixed,uniform,dma_stream,in_order,none,768
RUN-000036,dma_burst_seq,343837892,full_random,default,0x6500,64,incremental,0.889,0.34,balanced,16,1,97,0,5,fixed,burst_hotspot,dma_stream,in_order,none,192
RUN-000037,dma_burst_seq,2048333865,full_random,default,0xac00,16,walking_ones,0.256,0.56,balanced,16,4,327,27,7,fixed,uniform,boot,in_order,glitch,192
RUN-000038,parity_stress_seq,116268286,constrained,stress,0x2000,4,walking_ones,0.52,0.73,balanced,8,17,224,31,0,fixed,ping_pong,console,out_of_order,glitch,384
RUN-000039,reset_recovery_seq,1679308757,full_random,corner,0x7d00,16,incremental,0.658,0.5,balanced,64,14,58,17,10,weighted,uniform,dma_stream,out_of_order,none,192
RUN-000040,reg_sweep_seq,1749430100,full_random,default,0xfa00,64,all_ones,0.313,0.69,reg_wr,64,36,144,12,5,fixed,burst_hotspot,dma_stream,in_order,none,96
RUN-000041,uart_loopback_seq,1479435458,constrained,stress,0x7b00,4,walking_ones,0.389,0.72,reg_wr,16,3,212,9,8,weighted,sparse,sensor_poll,out_of_order,bitflip,48
RUN-000042,reg_sweep_seq,696135320,full_random,default,0x0c00,64,incremental,0.362,0.53,balanced,128,16,139,12,5,weighted,sparse,console,in_order,glitch,768
RUN-000043,parity_stress_seq,1109859003,constrained,default,0xa400,64,random,0.394,0.61,reg_wr,128,14,63,29,6,weighted,burst_hotspot,boot,in_order,none,768
