run_id,access_time_ns,access_type,block,reg_name,reg_addr,reg_value,expected_value,field_name,field_value,status,mem_block_id
RUN-000001,375440,WRITE,csr,TIMEOUT_CFG,0x001c,0xd9b65c9f,0xd9b65c9f,timeout_cfg_field0,15,OK,4
RUN-000001,341720,WRITE,csr,PERF_CNT1,0x0024,0x66c2915c,0x66c2915c,perf_cnt1_field0,3,OK,9
RUN-000001,259387,READ,csr,ECC_CFG,0x0014,0x60d1be16,0x60d1be16,ecc_cfg_field2,13,OK,9
RUN-000001,135458,WRITE,csr,STATUS,0x0008,0xbdf5a65c,0xbdf5a65c,status_field2,12,OK,0
RUN-000002,652340,READ,csr,CTRL1,0x0004,0x39584754,0x39584754,ctrl1_field3,5,OK,11
RUN-000002,413281,WRITE,csr,INT_STATUS,0x0010,0x7c66e29a,0x7c66e29a,int_status_field1,9,OK,7
RUN-000002,644997,WRITE,csr,CTRL1,0x0004,0xb0c062f4,0xb0c062f4,ctrl1_field2,7,OK,9
RUN-000002,773904,READ,csr,FIFO_LEVEL,0x0018,0x0f0a6b5d,0x0f0a6b5d,fifo_level_field3,2,OK,1
RUN-000003,212902,WRITE,csr,FIFO_LEVEL,0x0018,0x6f720647,0x6f720647,fifo_level_field2,4,OK,13
RUN-000003,529671,WRITE,csr,INT_STATUS,0x0010,0x48d39b76,0x48d39b76,int_status_field1,8,OK,3
RUN-000003,537102,WRITE,csr,STATUS,0x0008,0xd058f040,0xd058f040,status_field0,14,OK,9
RUN-000003,222943,READ,csr,CTRL1,0x0004,0x7392a942,0x7392a942,ctrl1_field2,9,OK,11
RUN-000004,67028,WRITE,csr,INT_STATUS,0x0010,0x4e6846c3,0x4e6846c3,int_status_field3,8,OK,0
RUN-000004,35367,WRITE,csr,TIMEOUT_CFG,0x001c,0xd6a9e152,0xd6a9e152,timeout_cfg_field2,12,OK,0
RUN-000004,81844,READ,csr,STATUS,0x0008,0xd2e18b60,0xd2e18b60,status_field1,0,OK,2
RUN-000004,36480,WRITE,csr,PERF_CNT1,0x0024,0x11877617,0x11877617,perf_cnt1_field3,14,OK,2
RUN-000005,32612,READ,csr,PERF_CNT0,0x0020,0xea7dc1d5,0xea7dc1d5,perf_cnt0_field1,1,OK,1
RUN-000005,16150,READ,csr,CTRL0,0x0000,0x21f3890b,0x21f3890b,ctrl0_field2,10,OK,1
RUN-000005,30920,READ,csr,PERF_CNT1,0x0024,0x06ff36ea,0x06ff36ea,perf_cnt1_field3,4,OK,0
RUN-000005,15108,WRITE,csr,PERF_CNT1,0x0024,0x9783aa6d,0x9783aa6d,perf_cnt1_field1,13,OK,0
RUN-000006,9694,READ,csr,CTRL1,0x0004,0x7239f205,0x7239f205,ctrl1_field2,4,OK,1
RUN-000006,1818,WRITE,csr,ECC_CFG,0x0014,0x3c1311e1,0x3c1311e1,ecc_cfg_field1,6,OK,1
RUN-000006,15955,WRITE,csr,CTRL1,0x0004,0xb2da19f8,0xb2da19f8,ctrl1_field1,8,OK,0
RUN-000006,7459,READ,csr,INT_MASK,0x000c,0xa18ff5da,0xa18ff5db,int_mask_field2,10,MISMATCH,1
RUN-000007,48037,WRITE,csr,INT_STATUS,0x0010,0xdc0f6c13,0xdc0f6c13,int_status_field3,15,OK,0
RUN-000007,26706,READ,csr,TIMEOUT_CFG,0x001c,0x60e9abf2,0x60e9abf2,timeout_cfg_field1,6,OK,0
RUN-000007,65943,READ,csr,PERF_CNT1,0x0024,0x9e97af53,0x9e97af53,perf_cnt1_field3,15,OK,1
RUN-000007,64021,WRITE,csr,STATUS,0x0008,0xc95788fb,0xc95788fa,status_field2,3,MISMATCH,0
RUN-000008,21025,WRITE,csr,STATUS,0x0008,0xe4c49741,0xe4c49741,status_field2,3,OK,2
RUN-000008,24605,WRITE,csr,TIMEOUT_CFG,0x001c,0x449d8c84,0x449d8c84,timeout_cfg_field2,2,OK,1
RUN-000008,26605,WRITE,csr,INT_STATUS,0x0010,0x7b838f40,0x7b838f40,int_status_field3,1,OK,0
RUN-000008,10107,WRITE,csr,CTRL0,0x0000,0x1478bbb5,0x1478bbb5,ctrl0_field1,10,OK,1
RUN-000009,53903,READ,csr,CTRL1,0x0004,0x462f68fd,0x462f68fd,ctrl1_field0,10,OK,0
RUN-000009,55451,READ,csr,ECC_CFG,0x0014,0x0c11ed0e,0x0c11ed0e,ecc_cfg_field0,5,OK,0
RUN-000009,28310,READ,csr,ECC_CFG,0x0014,0xf0525621,0xf0525621,ecc_cfg_field1,14,OK,0
RUN-000009,47433,WRITE,csr,FIFO_LEVEL,0x0018,0x3f13ea90,0x3f13ea90,fifo_level_field3,6,OK,1
RUN-000010,197627,READ,csr,CTRL1,0x0004,0xff92182e,0xff92182e,ctrl1_field2,0,OK,4
RUN-000010,147262,WRITE,csr,PERF_CNT0,0x0020,0xf95c1150,0xf95c1150,perf_cnt0_field1,6,OK,1
RUN-000010,540624,READ,csr,PERF_CNT1,0x0024,0x308a07f9,0x308a07f9,perf_cnt1_field2,12,OK,1
RUN-000010,484377,WRITE,csr,CTRL1,0x0004,0x15122c8c,0x15122c8c,ctrl1_field3,2,OK,2
RUN-000011,112581,READ,csr,CTRL0,0x0000,0xecb0de85,0xecb0de85,ctrl0_field1,6,OK,1
RUN-000011,33928,WRITE,csr,PERF_CNT1,0x0024,0x5dbfe795,0x5dbfe795,perf_cnt1_field0,14,OK,0
RUN-000011,60747,READ,csr,CTRL1,0x0004,0x6c683c26,0x6c683c26,ctrl1_field3,3,OK,6
RUN-000011,138372,READ,csr,FIFO_LEVEL,0x0018,0x5122281d,0x5122281d,fifo_level_field0,12,OK,7
RUN-000012,284566,READ,csr,INT_STATUS,0x0010,0x40ce2cb5,0x40ce2cb5,int_status_field0,3,OK,7
RUN-000012,55178,WRITE,csr,INT_MASK,0x000c,0xfdba9fe8,0xfdba9fe8,int_mask_field0,10,OK,2
RUN-000012,166975,READ,csr,PERF_CNT0,0x0020,0x76366d0c,0x76366d0c,perf_cnt0_field1,12,OK,9
RUN-000012,308339,READ,csr,TIMEOUT_CFG,0x001c,0x313f24f7,0x313f24f7,timeout_cfg_field0,12,OK,10
RUN-000013,102988,WRITE,csr,PERF_CNT1,0x0024,0x656ab1b1,0x656ab1b1,perf_cnt1_field3,10,OK,7
RUN-000013,16114,WRITE,csr,INT_STATUS,0x0010,0x15408b07,0x15408b07,int_status_field3,7,OK,2
RUN-000013,102457,WRITE,csr,TIMEOUT_CFG,0x001c,0xb6246423,0xb6246423,timeout_cfg_field3,11,OK,1
RUN-000013,11632,READ,csr,INT_MASK,0x000c,0x46de7734,0x46de7734,int_mask_field1,4,OK,1
RUN-000014,52753,WRITE,csr,FIFO_LEVEL,0x0018,0xf73f433e,0xf73f433e,fifo_level_field3,2,OK,1
RUN-000014,5450,WRITE,csr,INT_MASK,0x000c,0xe2c61d19,0xe2c61d19,int_mask_field0,4,OK,1
RUN-000014,98636,READ,csr,FIFO_LEVEL,0x0018,0xd5e7d0a3,0xd5e7d0a3,fifo_level_field0,11,OK,1
RUN-000014,55491,READ,csr,PERF_CNT0,0x0020,0x6178004b,0x6178004b,perf_cnt0_field3,10,OK,0
RUN-000015,10086,WRITE,csr,TIMEOUT_CFG,0x001c,0xe96d9ae6,0xe96d9ae6,timeout_cfg_field3,6,OK,3
RUN-000015,29333,WRITE,csr,INT_MASK,0x000c,0xc3d85349,0xc3d85349,int_mask_field2,5,OK,2
RUN-000015,6975,WRITE,csr,ECC_CFG,0x0014,0xe878a3a3,0xe878a3a3,ecc_cfg_field3,8,OK,0
RUN-000015,44659,READ,csr,PERF_CNT0,0x0020,0x37431639,0x37431639,perf_cnt0_field0,2,OK,3
RUN-000016,112383,READ,csr,CTRL0,0x0000,0x440299bb,0x440299bb,ctrl0_field3,14,OK,0
RUN-000016,73438,READ,csr,INT_MASK,0x000c,0xe23787ed,0xe23787ed,int_mask_field2,5,OK,0
RUN-000016,39075,READ,csr,STATUS,0x0008,0xfc6bb325,0xfc6bb325,status_field2,0,OK,1
RUN-000016,6465,READ,csr,PERF_CNT1,0x0024,0xcd4457a0,0xcd4457a0,perf_cnt1_field1,13,OK,1
RUN-000017,53252,READ,csr,STATUS,0x0008,0x2a8f6ec1,0x2a8f6ec1,status_field3,7,OK,6
RUN-000017,71830,WRITE,csr,CTRL0,0x0000,0x4c8fa275,0x4c8fa275,ctrl0_field2,4,OK,1
RUN-000017,28062,READ,csr,PERF_CNT0,0x0020,0xdcdf5a9f,0xdcdf5a9f,perf_cnt0_field1,1,OK,4
RUN-000017,6015,WRITE,csr,CTRL0,0x0000,0x51be2979,0x51be2979,ctrl0_field2,15,OK,5
RUN-000018,9191,WRITE,csr,CTRL0,0x0000,0x229f259b,0x229f259b,ctrl0_field1,2,OK,0
RUN-000018,11718,READ,csr,STATUS,0x0008,0xbef4db3b,0xbef4db3b,status_field0,6,OK,1
RUN-000018,4997,WRITE,csr,TIMEOUT_CFG,0x001c,0x8d4b8a41,0x8d4b8a41,timeout_cfg_field0,2,OK,1
RUN-000018,56407,READ,csr,INT_STATUS,0x0010,0x32694820,0x32694820,int_status_field0,15,OK,1
RUN-000019,57430,WRITE,csr,CTRL0,0x0000,0x54675274,0x54675274,ctrl0_field0,8,OK,1
RUN-000019,74075,READ,csr,INT_STATUS,0x0010,0x01fe9800,0x01fe9800,int_status_field3,10,OK,0
