simulation_id,host,os_release,simulator,simulator_version,cpu_model,cpu_cores_allocated,cpu_util_avg_pct,cpu_util_peak_pct,mem_util_avg_pct,peak_mem_mb,disk_io_mb,wall_time_s,cpu_time_s,license_wait_s,sim_perf_cycles_per_sec,temperature_c,voltage_mv,power_mode,power_w,grid_queue
RUN-000001,farm-node-11,rhel8.8,VCS,2023.12-SP1,EPYC-7763,3,80.9,88.3,73.3,3758.4,301.0,23.21,16.79,7.67,511087.9,49.2,1114.3,low_power,3.88,short
RUN-000002,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,4,67.5,94.5,33.8,3436.9,435.9,17.47,25.55,2.07,1143067.5,36.0,1146.1,turbo,7.54,short
RUN-000003,farm-node-01,rhel8.8,Questa,2023.4,Xeon-Gold-6338,2,54.0,67.1,37.6,3031.5,528.6,26.33,34.16,3.48,732029.2,52.7,1128.4,turbo,5.48,normal
RUN-000004,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,40.4,63.6,60.4,1525.8,386.6,23.29,34.49,1.46,611903.9,53.2,1152.2,low_power,6.16,short
RUN-000005,farm-node-02,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,3,31.1,35.3,35.6,1839.7,427.7,25.69,35.69,7.21,95374.2,76.3,1058.3,nominal,5.53,long
RUN-000006,farm-node-02,rhel8.8,Xcelium,23.09.004,EPYC-9354,1,48.5,61.6,36.4,1502.5,182.9,28.43,35.11,3.69,37358.8,56.0,1115.4,turbo,6.4,long
RUN-000007,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,3,46.9,73.7,13.8,1948.7,281.1,17.45,13.9,24.16,695443.4,39.2,1114.5,low_power,4.02,normal
RUN-000008,farm-node-07,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,1,48.4,67.2,25.9,3846.5,262.7,11.96,13.87,3.46,108530.9,35.9,1158.0,low_power,4.33,normal
RUN-000009,farm-node-11,rhel8.8,Questa,2023.4,EPYC-7763,2,38.7,44.8,32.4,3405.5,428.3,25.33,25.98,28.53,157051.5,75.1,1170.4,nominal,3.23,normal
RUN-000010,farm-node-11,rhel8.8,Questa,2023.4,EPYC-9354,1,66.5,95.3,31.9,1564.6,123.1,27.09,24.23,28.08,239775.2,55.2,1155.8,nominal,5.29,normal
RUN-000011,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,4,67.8,71.5,33.6,2556.1,507.3,21.47,31.45,7.1,464743.3,46.2,1099.1,nominal,4.03,long
RUN-000012,farm-node-02,rhel8.8,Questa,2023.4,EPYC-9354,1,49.7,63.0,50.6,2009.2,419.9,11.72,10.72,5.86,10140848.3,49.6,1105.6,nominal,2.22,long
RUN-000013,farm-node-19,rhel8.8,Xcelium,23.09.004,EPYC-7763,1,61.1,89.3,61.6,2032.7,463.2,11.88,16.02,4.85,780490.3,54.8,1115.6,nominal,4.26,long
RUN-000014,farm-node-07,rhel8.8,VCS,2023.12-SP1,EPYC-7763,2,47.8,76.7,40.6,3118.7,515.5,8.0,9.81,0.2,419855.1,40.4,1067.4,low_power,4.81,normal
RUN-000015,farm-node-19,rhel8.8,Questa,2023.4,Xeon-Gold-6338,3,70.5,83.1,58.3,2929.1,187.5,24.95,18.99,3.69,74510.7,44.5,1118.6,low_power,1.73,long
RUN-000016,farm-node-01,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,74.8,88.1,53.7,3145.1,438.9,15.82,12.4,7.64,993454.6,46.5,1115.6,nominal,5.31,short
RUN-000017,farm-node-07,rhel8.8,Questa,2023.4,EPYC-9354,4,65.9,91.7,60.1,1742.2,540.8,10.63,7.93,7.24,2747619.2,39.7,1174.7,nominal,4.32,short
RUN-000018,farm-node-02,rhel8.8,VCS,2023.12-SP1,EPYC-7763,1,59.1,86.5,57.4,2919.4,479.5,25.74,27.84,6.0,197322.3,35.9,1118.1,nominal,3.11,long
RUN-000019,farm-node-01,rhel8.8,Questa,2023.4,Xeon-Gold-6338,1,44.3,54.2,35.0,2801.2,370.0,8.25,12.51,10.07,1721192.7,45.9,1120.8,low_power,3.7,long
RUN-000020,farm-node-02,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,1,57.3,66.2,43.1,3511.0,89.3,22.57,35.51,3.69,126608.9,94.3,1168.5,nominal,1.97,long
RUN-000021,farm-node-19,rhel8.8,Questa,2023.4,EPYC-9354,1,54.7,65.0,31.5,3115.5,400.3,29.19,46.56,3.92,340062.8,48.5,1120.5,nominal,4.33,short
RUN-000022,farm-node-07,rhel8.8,Questa,2023.4,Xeon-Gold-6338,3,52.6,59.1,50.2,3322.6,470.6,18.25,16.25,10.51,270341.5,65.1,1068.0,turbo,7.69,long
RUN-000023,farm-node-19,rhel8.8,Questa,2023.4,EPYC-7763,4,67.8,96.6,36.7,2098.5,342.3,8.14,12.37,41.95,1041182.9,56.6,1136.4,low_power,3.98,short
RUN-000024,farm-node-07,rhel8.8,Xcelium,23.09.004,Xeon-Gold-6338,2,58.3,79.9,59.4,2558.7,255.1,14.39,13.14,1.25,2300890.8,68.4,1205.3,low_power,3.53,short
RUN-000025,farm-node-01,rhel8.8,Questa,2023.4,EPYC-9354,1,68.9,87.2,15.7,2780.2,326.4,16.6,26.49,0.22,1529690.2,79.0,1049.6,low_power,5.14,long
RUN-000026,farm-node-01,rhel8.8,VCS,2023.12-SP1,Xeon-Gold-6338,4,37.1,43.3,45.1,3332.7,248.3,15.38,23.73,18.56,3219362.3,55.9,1145.5,nominal,3.52,normal
RUN-000027,farm-node-02,rhel8.8,Questa,2023.4,EPYC-7763,3,51.3,79.7,31.8,1921.4,290.2,18.41,21.02,2.13,364442.3,53.1,1142.0,nominal,4.98,short
