run_id,test_id,test_name,cache_policy,test_mode_enabled,queue_depth,num_channels,num_planes,ecc_mode,scrambler_enable,burst_length,clock_freq_mhz,prefetch_depth,data_width_bits,addr_width_bits,fifo_depth,cache_size_kb,buffer_size_kb,memory_size_mb,num_agents,agent_mode,env_mode,protocol,reset_cycles,timeout_ns,error_injection_enable,error_injection_rate,coverage_enable,assertion_enable,uvm_verbosity,debug_level,cpu_threads,gpu_accel,compile_options,sim_options,wear_leveling_mode,plane_interleave,vendor_cmd_set,num_transactions,clock_period_ns,test_class,sequence_name
RUN-000001,mixed_rw_test-000001,Mixed_RW,Adaptive,0,8,1,1,LDPC,0,32,600,8,32,48,32,1024,128,256,1,ACTIVE,functional,AXI4,8,1000000,1,0.0479,1,1,UVM_MEDIUM,2,4,0,-O3 -sv -timescale=1ns/1ps -assert svaext,+UVM_TESTNAME=auto -cm line+cond+fsm,dynamic,1,v1.3,128,1.6667,mixed_rw_test,mixed_rw_seq
RUN-000002,sequential_write_test-000002,Sequential_Write,WriteThrough,1,8,8,1,LDPC,0,8,800,3,32,48,32,128,64,1024,1,ACTIVE,regression,AXI4,32,1000000,1,0.0496,1,1,UVM_MEDIUM,0,8,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +ntb_random_seed_automatic,dynamic,1,v1.3,128,1.25,sequential_write_test,sequential_write_seq
RUN-000003,mixed_rw_test-000003,Mixed_RW,Adaptive,0,32,2,2,LDPC,1,16,800,3,32,40,32,1024,256,2048,1,ACTIVE,regression,AXI4,16,1000000,1,0.0079,1,0,UVM_LOW,0,4,0,-O1 -sv -debug_access+all,+UVM_TESTNAME=auto -cm line+cond+fsm,static,1,v1.2,512,1.25,mixed_rw_test,mixed_rw_seq
RUN-000004,read_disturb_test-000004,Read_Disturb,Adaptive,1,4,4,1,BCH,1,32,800,11,128,32,16,128,64,1024,4,ACTIVE,stress,AXI4,8,1000000,0,0.0,1,1,UVM_MEDIUM,1,1,0,-O3 -sv -timescale=1ns/1ps -assert svaext,+UVM_TESTNAME=auto +ntb_random_seed_automatic,static,0,v1.2,64,1.25,read_disturb_test,read_disturb_seq
RUN-000005,random_read_test-000005,Random_Read,WriteBack,0,32,8,2,LDPC,1,8,600,5,128,32,128,1024,64,1024,2,ACTIVE,functional,AXI4,8,1000000,1,0.0433,1,1,UVM_LOW,1,2,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +UVM_MAX_QUIT_COUNT=5,hybrid,1,v1.3,512,1.6667,random_read_test,random_read_seq
RUN-000006,random_read_test-000006,Random_Read,Disabled,0,1,8,1,BCH,0,32,1200,4,64,40,64,512,256,2048,1,ACTIVE,functional,AXI4,16,1000000,1,0.0298,0,1,UVM_LOW,0,4,0,-O1 -sv -debug_access+all,+UVM_TESTNAME=auto +ntb_random_seed_automatic,hybrid,0,v1.3,16,0.8333,random_read_test,random_read_seq
RUN-000007,mixed_rw_test-000007,Mixed_RW,WriteThrough,0,16,8,2,LDPC,0,8,800,4,256,40,16,128,32,1024,1,ACTIVE,stress,AXI4,16,1000000,0,0.0,1,1,UVM_LOW,1,4,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto -cm line+cond+fsm,hybrid,1,v1.3,256,1.25,mixed_rw_test,mixed_rw_seq
RUN-000008,mixed_rw_test-000008,Mixed_RW,WriteBack,1,4,4,1,Disabled,0,8,800,10,256,32,32,1024,64,512,3,ACTIVE,functional,AXI4,8,1000000,1,0.0303,1,0,UVM_DEBUG,0,2,0,-O1 -sv -debug_access+all,+UVM_TESTNAME=auto -cm line+cond+fsm,static,0,v1.3,64,1.25,mixed_rw_test,mixed_rw_seq
RUN-000009,erase_suspend_test-000009,Erase_Suspend,WriteBack,0,2,2,2,LDPC,1,32,400,13,64,40,16,512,256,256,3,ACTIVE,stress,AXI4,32,500000,0,0.0,0,1,UVM_LOW,0,4,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto -cm line+cond+fsm,static,1,v2.0,32,2.5,erase_suspend_test,erase_suspend_seq
RUN-000010,sequential_write_test-000010,Sequential_Write,WriteBack,0,8,2,4,LDPC,0,16,1000,13,32,40,32,512,256,512,3,ACTIVE,functional,AXI4,32,2000000,1,0.0119,1,1,UVM_DEBUG,1,8,0,-O2 -sv -timescale=1ns/1ps,+UVM_TESTNAME=auto +ntb_random_seed_automatic,hybrid,0,v1.3,128,1.0,sequential_write_test,sequential_write_seq
