run_id,test_id,seed,status,pass_fail,failure_type,error_code,error_id,first_error_time_ns,uvm_error_count,uvm_warning_count,uvm_fatal_count,assertion_failures,scoreboard_mismatches,execution_time_ms,throughput_mbps,sim_cycles,exit_code,verdict_source
RUN-000001,mixed_rw_test-000001,426895501,PASS,pass,NONE,,,,0,0,0,0,0,202.11,0.61,121264927,0,uvm_report_server
RUN-000002,sequential_write_test-000002,1281183458,PASS,pass,NONE,,,,0,1,0,0,0,5.68,43.9,4545299,0,uvm_report_server
RUN-000003,mixed_rw_test-000003,1945941103,PASS,pass,NONE,,,,0,0,0,0,0,156.17,6.32,124933870,0,uvm_report_server
RUN-000004,read_disturb_test-000004,1672585334,PASS,pass,NONE,,,,0,0,0,0,0,19.56,14.24,15645173,0,uvm_report_server
RUN-000005,random_read_test-000005,1029432581,PASS,pass,NONE,,,,0,0,0,0,0,18.9,108.65,11339980,0,uvm_report_server
RUN-000006,random_read_test-000006,657551815,PASS,pass,NONE,,,,0,0,0,0,0,3.62,38.2,4339226,0,uvm_report_server
RUN-000007,mixed_rw_test-000007,1822579244,PASS,pass,NONE,,,,0,1,0,0,0,10.66,99.11,8527950,0,uvm_report_server
RUN-000008,mixed_rw_test-000008,960990634,FAIL,fail,DATA_MISMATCH,E_CMP_0x11,DATA_MISMATCH,2500,1,0,0,0,1,4.78,9.78,3826705,1,uvm_report_server
RUN-000009,erase_suspend_test-000009,2047513971,PASS,pass,NONE,,,,0,0,0,0,0,13.82,9.59,5528856,0,uvm_report_server
RUN-000010,sequential_write_test-000010,755002989,PASS,pass,NONE,,,,0,0,0,0,0,13.78,36.75,13775998,0,uvm_report_server
RUN-000011,back_to_back_program_test-000011,979957258,PASS,pass,NONE,,,,0,0,0,0,0,26.17,80.27,20934370,0,uvm_report_server
RUN-000012,back_to_back_program_test-000012,182164305,FAIL,fail,TIMEOUT,E_TMO_0x40,TIMEOUT,1978710,4,0,1,1,0,1982.71,0.01,2379246283,1,uvm_report_server
RUN-000013,power_cycle_test-000013,1892195654,FAIL,fail,TIMEOUT,E_TMO_0x40,TIMEOUT,1966020,1,0,1,0,0,1970.02,0.02,2364019920,1,uvm_report_server
RUN-000014,erase_suspend_test-000014,509330106,PASS,pass,NONE,,,,0,0,0,0,0,13.67,9.79,8201746,0,uvm_report_server
RUN-000015,erase_suspend_test-000015,2685682,PASS,pass,NONE,,,,0,1,0,0,0,179.82,6.12,71929400,0,uvm_report_server
RUN-000016,back_to_back_program_test-000016,294273027,PASS,pass,NONE,,,,0,0,0,0,0,8.26,29.71,8260573,0,uvm_report_server
RUN-000017,back_to_back_program_test-000017,807945271,PASS,pass,NONE,,,,0,0,0,0,0,43.11,5.68,25865384,0,uvm_report_server
RUN-000018,read_disturb_test-000018,1853523723,FAIL,fail,RETENTION_FAIL,E_RET_0x71,RETENTION_FAIL,100380,3,0,0,1,1,104.38,1.22,62625212,1,uvm_report_server
RUN-000019,sequential_write_test-000019,155990100,PASS,pass,NONE,,,,0,0,0,0,0,1.0,4.38,1200000,0,uvm_report_server
RUN-000020,back_to_back_program_test-000020,1753871255,FAIL,fail,FIFO_OVERFLOW,E_FIFO_0x21,FIFO_OVERFLOW,4760,2,0,0,0,0,8.76,39.08,7007772,1,uvm_report_server
RUN-000021,random_read_test-000021,1580522283,PASS,pass,NONE,,,,0,0,0,0,0,217.39,10.4,130434648,0,uvm_report_server
RUN-000022,sequential_write_test-000022,93931296,PASS,pass,NONE,,,,0,1,0,0,0,24.82,5.39,24823437,0,uvm_report_server
RUN-000023,random_read_test-000023,2018195410,FAIL,fail,TIMEOUT,E_TMO_0x40,TIMEOUT,1960080,3,0,1,1,0,1964.08,0.05,1964081856,1,uvm_report_server
RUN-000024,back_to_back_program_test-000024,1625178140,FAIL,fail,FIFO_OVERFLOW,E_FIFO_0x21,FIFO_OVERFLOW,15530,2,0,0,1,0,19.53,10.35,23440038,1,uvm_report_server
RUN-000025,power_cycle_test-000025,552413025,PASS,pass,NONE,,,,0,0,0,0,0,68.42,28.2,54735436,0,uvm_report_server
RUN-000026,back_to_back_program_test-000026,361496681,PASS,pass,NONE,,,,0,0,0,0,0,15.28,17.27,9169851,0,uvm_report_server
RUN-000027,random_read_test-000027,1013615120,PASS,pass,NONE,,,,0,0,0,0,0,128.68,8.79,51471760,0,uvm_report_server
RUN-000028,back_to_back_program_test-000028,587342366,PASS,pass,NONE,,,,0,0,0,0,0,9.65,53.9,11580950,0,uvm_report_server
RUN-000029,garbage_collect_test-000029,746558979,PASS,pass,NONE,,,,0,0,0,0,0,43.9,48.12,26337625,0,uvm_report_server
RUN-000030,erase_suspend_test-000030,606365883,PASS,pass,NONE,,,,0,1,0,0,0,54.67,19.03,43738966,0,uvm_report_server
RUN-000031,power_cycle_test-000031,245819593,PASS,pass,NONE,,,,0,0,0,0,0,10.78,0.75,6468463,0,uvm_report_server
RUN-000032,back_to_back_program_test-000032,1009373672,FAIL,fail,FIFO_OVERFLOW,E_FIFO_0x21,FIFO_OVERFLOW,193110,3,0,0,0,0,197.11,0.87,78844506,1,uvm_report_server
