run_id,txn_id,sequence_id,sequence_name,txn_type,start_time_ns,end_time_ns,clock_cycle,channel_id,src_id,dst_id,priority,addr,wdata,rdata,expected_data,observed_data,checker_result,error_id,opcode,burst_len,beat_size_bytes,burst_type,AWADDR,AWVALID,AWREADY,WDATA,WSTRB,WVALID,WREADY,BRESP,ARADDR,ARVALID,ARREADY,RDATA,RRESP,RVALID,RREADY,interrupt_out,byte_enable
RUN-000001,RUN-000001-T0000,RUN-000001-S00,mixed_rw_seq,READ,39798567,39798712,23878662,0,1,1,0,0x00ed5aab,,0x926deda3,0x926deda3,0x926deda3,MATCH,,AXI_RD,32,4,INCR,,0,0,,,0,0,,0x00ed5aab,1,1,0x926deda3,OKAY,1,1,0,0x09
RUN-000001,RUN-000001-T0001,RUN-000001-S00,mixed_rw_seq,READ,52902444,52902779,31740831,0,1,2,3,0x04cff9de,,0x93fc5847,0x93fc5847,0x93fc5847,MATCH,,AXI_RD,32,4,INCR,,0,0,,,0,0,,0x04cff9de,1,1,0x93fc5847,OKAY,1,1,0,0x00
RUN-000001,RUN-000001-T0002,RUN-000001-S00,mixed_rw_seq,READ,81614821,81614991,48967913,0,0,0,3,0x0c7a0492,,0x2b5d4cef,0x2b5d4cef,0x2b5d4cef,MATCH,,AXI_RD,32,4,WRAP,,0,0,,,0,0,,0x0c7a0492,1,1,0x2b5d4cef,OKAY,1,1,0,0xbb
RUN-000001,RUN-000001-T0003,RUN-000001-S00,mixed_rw_seq,WRITE,140072524,140072691,84041833,1,3,2,2,0x02d29309,0xfadfcc48,,0xfadfcc48,0xfadfcc48,MATCH,,AXI_WR,32,4,INCR,0x02d29309,1,1,0xfadfcc48,0xf3,1,1,OKAY,,0,0,,,0,0,0,0xea
RUN-000001,RUN-000001-T0004,RUN-000001-S01,mixed_rw_seq,WRITE,144531107,144531268,86716929,1,0,0,0,0x025642e1,0xcc3a9851,,0xcc3a9851,0xcc3a9851,MATCH,,AXI_WR,32,4,INCR,0x025642e1,1,1,0xcc3a9851,0x7e,1,1,OKAY,,0,0,,,0,0,0,0xd4
RUN-000001,RUN-000001-T0005,RUN-000001-S01,mixed_rw_seq,READ,147534297,147534582,88518807,1,2,3,2,0x0c45846f,,0x1b878f02,0x1b878f02,0x1b878f02,MATCH,,AXI_RD,32,4,INCR,,0,0,,,0,0,,0x0c45846f,1,1,0x1b878f02,OKAY,1,1,0,0x0b
RUN-000001,RUN-000001-T0006,RUN-000001-S01,mixed_rw_seq,READ,165603272,165603542,99359976,0,3,1,1,0x04ef80fb,,0xbd40f6cc,0xbd40f6cc,0xbd40f6cc,MATCH,,AXI_RD,32,4,INCR,,0,0,,,0,0,,0x04ef80fb,1,1,0xbd40f6cc,OKAY,1,1,0,0x7a
RUN-000001,RUN-000001-T0007,RUN-000001-S01,mixed_rw_seq,WRITE,188751981,188752260,113248923,1,1,2,0,0x0a7e1136,0x3d0764cc,,0x3d0764cc,0x3d0764cc,MATCH,,AXI_WR,32,4,INCR,0x0a7e1136,1,1,0x3d0764cc,0x16,1,1,OKAY,,0,0,,,0,0,0,0xee
RUN-000002,RUN-000002-T0000,RUN-000002-S00,sequential_write_seq,READ,311014,311227,248811,3,2,2,1,0x026369b7,,0xecfd2782,0xecfd2782,0xecfd2782,MATCH,,AXI_RD,8,4,WRAP,,0,0,,,0,0,,0x026369b7,1,1,0xecfd2782,OKAY,1,1,0,0xe6
RUN-000002,RUN-000002-T0001,RUN-000002-S00,sequential_write_seq,WRITE,911472,911696,729177,5,1,3,3,0x0d17dc7d,0xf6c9fbf7,,0xf6c9fbf7,0xf6c9fbf7,MATCH,,AXI_WR,8,4,INCR,0x0d17dc7d,1,1,0xf6c9fbf7,0xda,1,1,OKAY,,0,0,,,0,0,0,0x83
RUN-000002,RUN-000002-T0002,RUN-000002-S00,sequential_write_seq,READ,1426505,1426901,1141204,7,2,2,0,0x0b4f33bb,,0x94edd3f3,0x94edd3f3,0x94edd3f3,MATCH,,AXI_RD,8,4,INCR,,0,0,,,0,0,,0x0b4f33bb,1,1,0x94edd3f3,OKAY,1,1,0,0xc6
RUN-000002,RUN-000002-T0003,RUN-000002-S00,sequential_write_seq,WRITE,1606568,1606594,1285254,1,3,3,3,0x08e098cf,0xb9d32c59,,0xb9d32c59,0xb9d32c59,MATCH,,AXI_WR,8,4,WRAP,0x08e098cf,1,1,0xb9d32c59,0x92,1,1,OKAY,,0,0,,,0,0,0,0x89
RUN-000002,RUN-000002-T0004,RUN-000002-S01,sequential_write_seq,WRITE,1911492,1911697,1529193,3,1,2,2,0x0e2385e4,0x5e57df11,,0x5e57df11,0x5e57df11,MATCH,,AXI_WR,8,4,WRAP,0x0e2385e4,1,1,0x5e57df11,0x6c,1,1,OKAY,,0,0,,,0,0,0,0xd8
RUN-000002,RUN-000002-T0005,RUN-000002-S01,sequential_write_seq,READ,2701575,2701623,2161260,4,3,1,0,0x0584fc26,,0xe1c75da2,0xe1c75da2,0xe1c75da2,MATCH,,AXI_RD,8,4,INCR,,0,0,,,0,0,,0x0584fc26,1,1,0xe1c75da2,OKAY,1,1,0,0xe3
RUN-000002,RUN-000002-T0006,RUN-000002-S01,sequential_write_seq,WRITE,3754247,3754398,3003397,3,2,0,1,0x0aaa5e9b,0xf74927f6,,0xf74927f6,0xf74927f6,MATCH,,AXI_WR,8,4,INCR,0x0aaa5e9b,1,1,0xf74927f6,0x86,1,1,OKAY,,0,0,,,0,0,0,0xb0
RUN-000002,RUN-000002-T0007,RUN-000002-S01,sequential_write_seq,WRITE,4687720,4687907,3750176,7,3,3,2,0x00dde05b,0x08afc39e,,0x08afc39e,0x08afc39e,MATCH,,AXI_WR,8,4,WRAP,0x00dde05b,1,1,0x08afc39e,0x97,1,1,OKAY,,0,0,,,0,0,0,0xdb
RUN-000003,RUN-000003-T0000,RUN-000003-S00,mixed_rw_seq,READ,34493622,34493918,27594897,0,3,3,2,0x061fe6f0,,0x433e451d,0x433e451d,0x433e451d,MATCH,,AXI_RD,16,4,INCR,,0,0,,,0,0,,0x061fe6f0,1,1,0x433e451d,OKAY,1,1,0,0xb3
RUN-000003,RUN-000003-T0001,RUN-000003-S00,mixed_rw_seq,WRITE,50820581,50820803,40656464,0,1,0,1,0x09302f53,0x1fab321f,,0x1fab321f,0x1fab321f,MATCH,,AXI_WR,16,4,INCR,0x09302f53,1,1,0x1fab321f,0x68,1,1,OKAY,,0,0,,,0,0,0,0xd1
RUN-000003,RUN-000003-T0002,RUN-000003-S00,mixed_rw_seq,WRITE,75285774,75285972,60228619,1,1,2,1,0x04af269e,0x52a34b1e,,0x52a34b1e,0x52a34b1e,MATCH,,AXI_WR,16,4,WRAP,0x04af269e,1,1,0x52a34b1e,0x6c,1,1,OKAY,,0,0,,,0,0,0,0x84
RUN-000003,RUN-000003-T0003,RUN-000003-S00,mixed_rw_seq,WRITE,98786783,98787152,79029426,0,3,1,3,0x070e5d86,0x10e739d5,,0x10e739d5,0x10e739d5,MATCH,,AXI_WR,16,4,WRAP,0x070e5d86,1,1,0x10e739d5,0x93,1,1,OKAY,,0,0,,,0,0,0,0xe1
RUN-000003,RUN-000003-T0004,RUN-000003-S01,mixed_rw_seq,WRITE,112996745,112997084,90397396,1,2,2,2,0x0ca78aa4,0x7c2889f5,,0x7c2889f5,0x7c2889f5,MATCH,,AXI_WR,16,4,INCR,0x0ca78aa4,1,1,0x7c2889f5,0x7a,1,1,OKAY,,0,0,,,0,0,0,0x92
RUN-000003,RUN-000003-T0005,RUN-000003-S01,mixed_rw_seq,WRITE,139359719,139359931,111487775,0,2,1,2,0x090d3296,0xae502285,,0xae502285,0xae502285,MATCH,,AXI_WR,16,4,WRAP,0x090d3296,1,1,0xae502285,0xeb,1,1,OKAY,,0,0,,,0,0,0,0xc0
RUN-000003,RUN-000003-T0006,RUN-000003-S01,mixed_rw_seq,WRITE,139852480,139852602,111881984,1,1,3,2,0x09a0c7c5,0x7900d941,,0x7900d941,0x7900d941,MATCH,,AXI_WR,16,4,INCR,0x09a0c7c5,1,1,0x7900d941,0xf7,1,1,OKAY,,0,0,,,0,0,0,0x32
RUN-000003,RUN-000003-T0007,RUN-000003-S01,mixed_rw_seq,READ,145345992,145346135,116276793,1,0,0,0,0x01cb52e2,,0x25953d26,0x25953d26,0x25953d26,MATCH,,AXI_RD,16,4,INCR,,0,0,,,0,0,,0x01cb52e2,1,1,0x25953d26,OKAY,1,1,0,0xf0
RUN-000004,RUN-000004-T0000,RUN-000004-S00,read_disturb_seq,WRITE,3888070,3888123,3110456,1,2,2,3,0x00eb92c5,0xccd1b8a5,,0xccd1b8a5,0xccd1b8a5,MATCH,,AXI_WR,32,16,INCR,0x00eb92c5,1,1,0xccd1b8a5,0xba,1,1,OKAY,,0,0,,,0,0,0,0x23
RUN-000004,RUN-000004-T0001,RUN-000004-S00,read_disturb_seq,READ,8586067,8586266,6868853,0,0,2,3,0x089352a1,,0xc95ea356,0xc95ea356,0xc95ea356,MATCH,,AXI_RD,32,16,INCR,,0,0,,,0,0,,0x089352a1,1,1,0xc95ea356,OKAY,1,1,0,0xae
RUN-000004,RUN-000004-T0002,RUN-000004-S00,read_disturb_seq,WRITE,8836545,8836912,7069236,2,3,0,0,0x024dcc5c,0xd1a5e09d,,0xd1a5e09d,0xd1a5e09d,MATCH,,AXI_WR,32,16,INCR,0x024dcc5c,1,1,0xd1a5e09d,0x74,1,1,OKAY,,0,0,,,0,0,0,0xaf
RUN-000004,RUN-000004-T0003,RUN-000004-S00,read_disturb_seq,READ,11581845,11582179,9265476,3,3,1,1,0x0af11efa,,0x4f3a8d0d,0x4f3a8d0d,0x4f3a8d0d,MATCH,,AXI_RD,32,16,INCR,,0,0,,,0,0,,0x0af11efa,1,1,0x4f3a8d0d,OKAY,1,1,0,0x37
RUN-000004,RUN-000004-T0004,RUN-000004-S01,read_disturb_seq,WRITE,12214484,12214626,9771587,2,0,2,3,0x0085f3f8,0x9ef2e2fd,,0x9ef2e2fd,0x9ef2e2fd,MATCH,,AXI_WR,32,16,WRAP,0x0085f3f8,1,1,0x9ef2e2fd,0x46,1,1,OKAY,,0,0,,,0,0,0,0x89
RUN-000004,RUN-000004-T0005,RUN-000004-S01,read_disturb_seq,READ,12248660,12248815,9798928,0,2,3,0,0x01cbff20,,0xc39bf950,0xc39bf950,0xc39bf950,MATCH,,AXI_RD,32,16,WRAP,,0,0,,,0,0,,0x01cbff20,1,1,0xc39bf950,OKAY,1,1,0,0x19
RUN-000004,RUN-000004-T0006,RUN-000004-S01,read_disturb_seq,WRITE,12377853,12378165,9902282,2,2,1,1,0x009263ad,0x1d9f9695,,0x1d9f9695,0x1d9f9695,MATCH,,AXI_WR,32,16,INCR,0x009263ad,1,1,0x1d9f9695,0x98,1,1,OKAY,,0,0,,,0,0,0,0xe2
RUN-000004,RUN-000004-T0007,RUN-000004-S01,read_disturb_seq,WRITE,17087661,17088046,13670128,2,0,3,2,0x00dfaf8a,0xd923021d,,0xd923021d,0xd923021d,MATCH,,AXI_WR,32,16,INCR,0x00dfaf8a,1,1,0xd923021d,0xda,1,1,OKAY,,0,0,,,0,0,0,0x35
RUN-000005,RUN-000005-T0000,RUN-000005-S00,random_read_seq,WRITE,2459503,2459889,1475672,0,1,0,1,0x0f539c45,0xb111d556,,0xb111d556,0xb111d556,MATCH,,AXI_WR,8,16,INCR,0x0f539c45,1,1,0xb111d556,0x97,1,1,OKAY,,0,0,,,0,0,0,0xf0
RUN-000005,RUN-000005-T0001,RUN-000005-S00,random_read_seq,READ,5595077,5595434,3356979,1,1,3,2,0x0f2b2089,,0xd28dbd2f,0xd28dbd2f,0xd28dbd2f,MATCH,,AXI_RD,8,16,INCR,,0,0,,,0,0,,0x0f2b2089,1,1,0xd28dbd2f,OKAY,1,1,0,0xe0
RUN-000005,RUN-000005-T0002,RUN-000005-S00,random_read_seq,WRITE,6788380,6788468,4072946,3,2,3,2,0x0227c6c3,0x4e979d4e,,0x4e979d4e,0x4e979d4e,MATCH,,AXI_WR,8,16,INCR,0x0227c6c3,1,1,0x4e979d4e,0xaf,1,1,OKAY,,0,0,,,0,0,0,0xe8
RUN-000005,RUN-000005-T0003,RUN-000005-S00,random_read_seq,WRITE,11720399,11720613,7032098,2,3,2,0,0x0494a5cf,0x9ab22bff,,0x9ab22bff,0x9ab22bff,MATCH,,AXI_WR,8,16,INCR,0x0494a5cf,1,1,0x9ab22bff,0x1d,1,1,OKAY,,0,0,,,0,0,0,0xe6
RUN-000005,RUN-000005-T0004,RUN-000005-S01,random_read_seq,WRITE,14930801,14931172,8958301,5,2,1,0,0x0484d7c8,0x6fff9b16,,0x6fff9b16,0x6fff9b16,MATCH,,AXI_WR,8,16,INCR,0x0484d7c8,1,1,0x6fff9b16,0x62,1,1,OKAY,,0,0,,,0,0,0,0x40
RUN-000005,RUN-000005-T0005,RUN-000005-S01,random_read_seq,WRITE,15740555,15740717,9444144,4,2,2,3,0x04a6f175,0x7d44a9ae,,0x7d44a9ae,0x7d44a9ae,MATCH,,AXI_WR,8,16,INCR,0x04a6f175,1,1,0x7d44a9ae,0x7c,1,1,OKAY,,0,0,,,0,0,0,0x2f
