run_id,txn_id,sequence_id,sequence_name,txn_type,start_time_ns,end_time_ns,clock_cycle,channel_id,src_id,dst_id,priority,addr,wdata,rdata,expected_data,observed_data,checker_result,error_id,opcode,burst_len,beat_size_bytes,burst_type,AWADDR,AWVALID,AWREADY,WDATA,WSTRB,WVALID,WREADY,BRESP,ARADDR,ARVALID,ARREADY,RDATA,RRESP,RVALID,RREADY,interrupt_out,byte_enable
RUN-000001,RUN-000001-T0000,RUN-000001-S00,garbage_collect_seq,WRITE,2465,2698,2465,0,1,1,2,0x03e7cc02,0xeebef6ae,,0xeebef6ae,0xeebef6ae,MATCH,,AXI_WR,16,16,INCR,0x03e7cc02,1,1,0xeebef6ae,0xf9,1,1,OKAY,,0,0,,,0,0,0,0x62
RUN-000001,RUN-000001-T0001,RUN-000001-S00,garbage_collect_seq,WRITE,22526,22867,22526,1,2,3,0,0x0ad44477,0x5cbe6e17,,0x5cbe6e17,0x5cbe6e17,MATCH,,AXI_WR,16,16,INCR,0x0ad44477,1,1,0x5cbe6e17,0x9f,1,1,OKAY,,0,0,,,0,0,0,0xb8
RUN-000001,RUN-000001-T0002,RUN-000001-S00,garbage_collect_seq,WRITE,26203,26428,26203,0,0,3,2,0x09fd6b84,0x56ec3318,,0x56ec3318,0x56ec3318,MATCH,,AXI_WR,16,16,WRAP,0x09fd6b84,1,1,0x56ec3318,0xf2,1,1,OKAY,,0,0,,,0,0,0,0x1e
RUN-000001,RUN-000001-T0003,RUN-000001-S00,garbage_collect_seq,WRITE,45412,45492,45412,1,3,0,1,0x0c1c086b,0x0b8b134f,,0x0b8b134f,0x0b8b134f,MATCH,,AXI_WR,16,16,INCR,0x0c1c086b,1,1,0x0b8b134f,0x71,1,1,OKAY,,0,0,,,0,0,0,0x75
RUN-000001,RUN-000001-T0004,RUN-000001-S01,garbage_collect_seq,WRITE,46394,46722,46394,0,1,0,0,0x04efd669,0x08ed5d6d,,0x08ed5d6d,0x08ed5d6d,MATCH,,AXI_WR,16,16,INCR,0x04efd669,1,1,0x08ed5d6d,0x86,1,1,OKAY,,0,0,,,0,0,0,0x4d
RUN-000001,RUN-000001-T0005,RUN-000001-S01,garbage_collect_seq,READ,57428,57555,57428,0,3,3,0,0x0840d8f1,,0x2f280599,0x2f280599,0x2f280599,MATCH,,AXI_RD,16,16,INCR,,0,0,,,0,0,,0x0840d8f1,1,1,0x2f280599,OKAY,1,1,0,0x2f
RUN-000001,RUN-000001-T0006,RUN-000001-S01,garbage_collect_seq,READ,68899,68969,68899,1,2,2,3,0x04e84696,,0x2b240ef0,0x2b240ef0,0x2b240ef0,MATCH,,AXI_RD,16,16,INCR,,0,0,,,0,0,,0x04e84696,1,1,0x2b240ef0,OKAY,1,1,0,0x94
RUN-000001,RUN-000001-T0007,RUN-000001-S01,garbage_collect_seq,READ,73253,73278,73253,1,0,3,2,0x04858ce4,,0x11381e5f,0x11381e5f,0x11381e5f,MATCH,,AXI_RD,16,16,INCR,,0,0,,,0,0,,0x04858ce4,1,1,0x11381e5f,OKAY,1,1,0,0xfa
RUN-000001,RUN-000001-T0008,RUN-000001-S02,garbage_collect_seq,WRITE,82067,82337,82067,0,1,0,0,0x0498a678,0xad8e498c,,0xad8e498c,0xad8e498c,MATCH,,AXI_WR,16,16,INCR,0x0498a678,1,1,0xad8e498c,0x1c,1,1,OKAY,,0,0,,,0,0,0,0x48
RUN-000001,RUN-000001-T0009,RUN-000001-S02,garbage_collect_seq,WRITE,86294,86317,86294,0,1,1,1,0x043bf836,0x69febf76,,0x69febf76,0x69febf76,MATCH,,AXI_WR,16,16,WRAP,0x043bf836,1,1,0x69febf76,0x68,1,1,OKAY,,0,0,,,0,0,0,0xe9
RUN-000002,RUN-000002-T0000,RUN-000002-S00,random_read_seq,WRITE,2483,2692,1986,1,3,1,2,0x0b28b0d5,0x69f067de,,0x69f067de,0x69f067de,MATCH,,AXI_WR,16,32,WRAP,0x0b28b0d5,1,1,0x69f067de,0x0a,1,1,OKAY,,0,0,,,0,0,0,0x7a
RUN-000002,RUN-000002-T0001,RUN-000002-S00,random_read_seq,WRITE,4269,4345,3415,1,1,2,1,0x054be66e,0xdeaa19e2,,0xdeaa19e2,0xdeaa19e2,MATCH,,AXI_WR,16,32,INCR,0x054be66e,1,1,0xdeaa19e2,0x31,1,1,OKAY,,0,0,,,0,0,0,0xaf
RUN-000002,RUN-000002-T0002,RUN-000002-S00,random_read_seq,WRITE,5321,5365,4256,0,0,3,0,0x05d8f364,0x77f4d1b5,,0x77f4d1b5,0x77f4d1b5,MATCH,,AXI_WR,16,32,INCR,0x05d8f364,1,1,0x77f4d1b5,0xa3,1,1,OKAY,,0,0,,,0,0,0,0x4e
RUN-000002,RUN-000002-T0003,RUN-000002-S00,random_read_seq,WRITE,6812,7191,5449,0,0,1,2,0x02df5c31,0x131705cc,,0x131705cc,0x131705cc,MATCH,,AXI_WR,16,32,INCR,0x02df5c31,1,1,0x131705cc,0x96,1,1,OKAY,,0,0,,,0,0,0,0xae
RUN-000002,RUN-000002-T0004,RUN-000002-S01,random_read_seq,READ,6842,7134,5473,0,3,3,0,0x09b13f1b,,0xa8ffe7a6,0xa8ffe7a6,0xa8ffe7a6,MATCH,,AXI_RD,16,32,INCR,,0,0,,,0,0,,0x09b13f1b,1,1,0xa8ffe7a6,OKAY,1,1,0,0xf2
RUN-000002,RUN-000002-T0005,RUN-000002-S01,random_read_seq,WRITE,8711,8972,6968,0,1,2,0,0x085e615c,0x4f91e99b,,0x4f91e99b,0x4f91e99b,MATCH,,AXI_WR,16,32,INCR,0x085e615c,1,1,0x4f91e99b,0xee,1,1,OKAY,,0,0,,,0,0,0,0xc8
RUN-000002,RUN-000002-T0006,RUN-000002-S01,random_read_seq,WRITE,9173,9215,7338,0,1,1,0,0x04e28a7e,0xaca3c86d,,0xaca3c86d,0xaca3c86d,MATCH,,AXI_WR,16,32,INCR,0x04e28a7e,1,1,0xaca3c86d,0x9c,1,1,OKAY,,0,0,,,0,0,0,0x9a
RUN-000002,RUN-000002-T0007,RUN-000002-S01,random_read_seq,WRITE,10334,10664,8267,3,3,0,3,0x027a289f,0x8f927585,,0x8f927585,0x8f927585,MATCH,,AXI_WR,16,32,INCR,0x027a289f,1,1,0x8f927585,0x9a,1,1,OKAY,,0,0,,,0,0,0,0xd3
RUN-000003,RUN-000003-T0000,RUN-000003-S00,read_disturb_seq,WRITE,6329,6432,6329,1,3,2,2,0x04b5ddb3,0xa8ae6572,,0xa8ae6572,0xa8ae6572,MATCH,,AXI_WR,32,16,INCR,0x04b5ddb3,1,1,0xa8ae6572,0xc9,1,1,OKAY,,0,0,,,0,0,0,0x1e
