Run_ID,transaction_id,sequence_id,sequence_name,txn_type,start_time_ns,end_time_ns,clock_cycle,channel_id,src_id,dst_id,priority,addr,wdata,rdata,expected_data,observed_data,checker_result,error_id,opcode,PADDR,PWRITE,PWDATA,PRDATA,PSEL,PENABLE,PREADY,PSLVERR,PSTRB,uart_tx_byte,uart_rx_byte,parity_error,framing_error,irq_out
RUN-000001,RUN-000001-T0000,RUN-000001-S00,backpressure_seq,WRITE,178266,178597,4456,2,1,3,3,0xc3bf,0x0c6816fd,,0x0c6816fd,0x0c6816fd,MATCH,,APB_WR,0xc3bf,1,0x0c6816fd,,7,1,1,0,0x5,0x3e,0x50,0,0,0
RUN-000001,RUN-000001-T0001,RUN-000001-S00,backpressure_seq,READ,282006,282284,7050,8,3,2,2,0x8166,,0xf8eb9475,0xf8eb9475,0xf8eb9475,MATCH,,APB_RD,0x8166,0,,0xf8eb9475,16,1,1,0,,0x17,0x9c,0,0,0
RUN-000001,RUN-000001-T0002,RUN-000001-S00,backpressure_seq,WRITE,283641,283724,7091,7,0,1,2,0xeea1,0xa81d2aa7,,0xa81d2aa7,0xa81d2aa7,MATCH,,APB_WR,0xeea1,1,0xa81d2aa7,,10,1,1,0,0x7,0xe4,0x9f,0,0,0
RUN-000001,RUN-000001-T0003,RUN-000001-S00,backpressure_seq,WRITE,285073,285428,7126,15,3,3,0,0xec67,0x2ba40e96,,0x2ba40e96,0x2ba40e96,MATCH,,APB_WR,0xec67,1,0x2ba40e96,,12,1,1,0,0xd,0xf3,0xce,0,0,0
RUN-000001,RUN-000001-T0004,RUN-000001-S01,backpressure_seq,READ,321662,321989,8041,11,3,2,2,0xf05c,,0x231eea1d,0x231eea1d,0x231eea1d,MATCH,,APB_RD,0xf05c,0,,0x231eea1d,9,1,1,0,,0x3b,0x5b,0,0,0
RUN-000001,RUN-000001-T0005,RUN-000001-S01,backpressure_seq,READ,321770,322116,8044,9,3,2,1,0xd583,,0x2002b800,0x2002b800,0x2002b800,MATCH,,APB_RD,0xd583,0,,0x2002b800,9,1,1,0,,0xaa,0x07,0,0,0
RUN-000001,RUN-000001-T0006,RUN-000001-S01,backpressure_seq,READ,361981,362291,9049,0,3,1,0,0x6caa,,0x87549f1c,0x87549f1c,0x87549f1c,MATCH,,APB_RD,0x6caa,0,,0x87549f1c,11,1,1,0,,0x76,0x0b,0,0,0
RUN-000001,RUN-000001-T0007,RUN-000001-S01,backpressure_seq,READ,410142,410269,10253,0,0,3,0,0x8990,,0xfc509603,0xfc509603,0xfc509603,MATCH,,APB_RD,0x8990,0,,0xfc509603,13,1,1,0,,0xe8,0x87,0,0,0
RUN-000001,RUN-000001-T0008,RUN-000001-S02,backpressure_seq,WRITE,534383,534457,13359,11,1,2,1,0x36bd,0xa16b89b0,,0xa16b89b0,0xa16b89b0,MATCH,,APB_WR,0x36bd,1,0xa16b89b0,,12,1,1,0,0xf,0x05,0x21,0,0,0
RUN-000001,RUN-000001-T0009,RUN-000001-S02,backpressure_seq,READ,633369,633621,15834,10,3,2,1,0xfd29,,0x3d2bc84f,0x3d2bc84f,0x3d2bc84f,MATCH,B_ARB_0x12,APB_RD,0xfd29,0,,0x3d2bc84f,12,1,1,1,,0xaa,0x2e,0,0,0
RUN-000002,RUN-000002-T0000,RUN-000002-S00,uart_loopback_seq,WRITE,144754,145068,3618,5,1,0,0,0xf724,0xb879f668,,0xb879f668,0xb879f668,MATCH,,APB_WR,0xf724,1,0xb879f668,,8,1,1,0,0x1,0x02,0x14,0,0,0
RUN-000002,RUN-000002-T0001,RUN-000002-S00,uart_loopback_seq,WRITE,197322,197470,4933,8,1,2,1,0x8911,0xf3fa7e88,,0xf3fa7e88,0xf3fa7e88,MATCH,,APB_WR,0x8911,1,0xf3fa7e88,,2,1,1,0,0xd,0x09,0xae,0,0,0
RUN-000002,RUN-000002-T0002,RUN-000002-S00,uart_loopback_seq,READ,278368,278645,6959,5,2,0,0,0xcee8,,0x788bc273,0x788bc273,0x788bc273,MATCH,,APB_RD,0xcee8,0,,0x788bc273,14,1,1,0,,0x65,0x41,0,0,0
RUN-000002,RUN-000002-T0003,RUN-000002-S00,uart_loopback_seq,READ,374893,374971,9372,12,2,1,0,0x86bc,,0x8d503a9f,0x8d503a9f,0x8d503a9f,MATCH,,APB_RD,0x86bc,0,,0x8d503a9f,7,1,1,0,,0x55,0xee,0,0,0
RUN-000002,RUN-000002-T0004,RUN-000002-S01,uart_loopback_seq,WRITE,461201,461589,11530,12,1,0,0,0x508b,0xe2e1dc13,,0xe2e1dc13,0xe2e1dc13,MATCH,,APB_WR,0x508b,1,0xe2e1dc13,,13,1,1,0,0x5,0x63,0x09,0,0,0
RUN-000002,RUN-000002-T0005,RUN-000002-S01,uart_loopback_seq,READ,565731,566071,14143,11,1,3,1,0xc1a3,,0x978e0bc1,0x978e0bc1,0x978e0bc1,MATCH,,APB_RD,0xc1a3,0,,0x978e0bc1,4,1,1,0,,0x62,0x3d,0,0,0
RUN-000002,RUN-000002-T0006,RUN-000002-S01,uart_loopback_seq,WRITE,613277,613637,15331,7,1,0,1,0xf0bb,0x05361c95,,0x05361c95,0x05361c95,MATCH,B_ARB_0x12,APB_WR,0xf0bb,1,0x05361c95,,2,1,1,1,0xb,0x68,0x80,0,0,0
RUN-000002,RUN-000002-T0007,RUN-000002-S01,uart_loopback_seq,READ,654636,654705,16365,0,0,0,3,0xfa52,,0xf6bc438e,0xf6bc438e,0xf6bc438e,MATCH,,APB_RD,0xfa52,0,,0xf6bc438e,12,1,1,0,,0xfd,0x75,0,0,0
RUN-000002,RUN-000002-T0008,RUN-000002-S02,uart_loopback_seq,READ,755481,755559,18887,0,2,1,3,0xe623,,0xe05e470a,0xe05e470a,0xe05e470a,MATCH,,APB_RD,0xe623,0,,0xe05e470a,3,1,1,0,,0xca,0xdd,0,0,0
RUN-000002,RUN-000002-T0009,RUN-000002-S02,uart_loopback_seq,READ,770503,770694,19262,11,1,0,1,0x2876,,0x55f4ce7a,0x55f4ce7a,0x55f4ce7a,MATCH,,APB_RD,0x2876,0,,0x55f4ce7a,10,1,1,0,,0x64,0xa0,0,0,0
RUN-000003,RUN-000003-T0000,RUN-000003-S00,uart_loopback_seq,READ,8498,8757,424,8,1,1,0,0x8295,,0xd2e38287,0xd2e38287,0xd2e38287,MATCH,,APB_RD,0x8295,0,,0xd2e38287,2,1,1,0,,0xf5,0x33,0,0,0
RUN-000003,RUN-000003-T0001,RUN-000003-S00,uart_loopback_seq,WRITE,59681,59884,2984,5,3,2,1,0xca78,0xb1876606,,0xb1876606,0xb1876606,MATCH,,APB_WR,0xca78,1,0xb1876606,,16,1,1,0,0x6,0xa1,0xf9,0,0,0
RUN-000003,RUN-000003-T0002,RUN-000003-S00,uart_loopback_seq,READ,162064,162183,8103,11,1,0,0,0xcbe2,,0xbf772229,0xbf772229,0xbf772229,MATCH,,APB_RD,0xcbe2,0,,0xbf772229,5,1,1,0,,0xa1,0xf8,0,0,0
RUN-000003,RUN-000003-T0003,RUN-000003-S00,uart_loopback_seq,READ,165348,165534,8267,7,2,3,2,0xc74f,,0x353cf20a,0x353cf20a,0x353cf20a,MATCH,,APB_RD,0xc74f,0,,0x353cf20a,4,1,1,0,,0xdd,0x68,0,0,0
RUN-000003,RUN-000003-T0004,RUN-000003-S01,uart_loopback_seq,READ,327361,327673,16368,2,2,1,0,0x0237,,0xb13d3af2,0xb13d3af2,0xb13d3af2,MATCH,,APB_RD,0x0237,0,,0xb13d3af2,1,1,1,0,,0x16,0xcc,0,0,0
RUN-000003,RUN-000003-T0005,RUN-000003-S01,uart_loopback_seq,READ,333978,334346,16698,5,3,0,3,0xa955,,0x031fd30b,0x031fd30b,0x031fd30b,MATCH,,APB_RD,0xa955,0,,0x031fd30b,1,1,1,0,,0x8e,0xe1,0,0,0
RUN-000003,RUN-000003-T0006,RUN-000003-S01,uart_loopback_seq,READ,475725,475768,23786,9,2,3,2,0xb354,,0xfb8a1aca,0xfb8a1aca,0xfb8a1aca,MATCH,,APB_RD,0xb354,0,,0xfb8a1aca,8,1,1,0,,0xd6,0xac,0,0,0
RUN-000003,RUN-000003-T0007,RUN-000003-S01,uart_loopback_seq,READ,494605,494703,24730,7,2,2,0,0x5a12,,0x57f7eb0a,0x57f7eb0a,0x57f7eb0a,MATCH,,APB_RD,0x5a12,0,,0x57f7eb0a,2,1,1,0,,0x0b,0xf2,0,0,0
RUN-000003,RUN-000003-T0008,RUN-000003-S02,uart_loopback_seq,READ,502986,503082,25149,3,1,3,1,0x24b7,,0x20f6a318,0x20f6a318,0x20f6a318,MATCH,,APB_RD,0x24b7,0,,0x20f6a318,13,1,1,0,,0x02,0x1b,0,0,0
RUN-000003,RUN-000003-T0009,RUN-000003-S02,uart_loopback_seq,WRITE,504927,505139,25246,6,1,0,0,0x13fc,0xc5b9c7bd,,0xc5b9c7bd,0xc5b9c7bd,MATCH,B_IRQ_0x45,APB_WR,0x13fc,1,0xc5b9c7bd,,14,1,1,0,0x0,0xff,0x9c,0,0,1
